my_id,school_name,financial name
1,Air Force,none
2,Akron,University of Akron Main Campus
3,Alabama,The University of Alabama
4,App State,Appalachian State University
5,Arizona,University of Arizona
6,Arizona State,Arizona State University Campus Immersion
7,Arkansas,University of Arkansas
8,Arkansas State,Arkansas State University 
9,Auburn,Auburn University 
10,Ball State,Ball State University
11,Boise State,Boise State University 
12,Bowling Green,Bowling Green State University-Main Campus
13,Buffalo,University at Buffalo
14,California,University of California-Berkeley
15,Central Michigan,Central Michigan University
16,Charlotte,University of North Carolina at Charlotte
17,Cincinnati,University of Cincinnati-Main Campus
18,Clemson,Clemson University 
19,Coastal Carolina,Coastal Carolina University
20,Colorado,University of Colorado Boulder
21,Colorado State,Colorado State University-Fort Collins
22,Connecticut,University of Connecticut
23,East Carolina,East Carolina University 
24,Eastern Michigan,Eastern Michigan University 
25,FAU,Florida Atlantic University 
26,FIU,Florida International University 
27,Florida,University of Florida
28,Florida State,Florida State University
29,Fresno State,California State University-Fresno
30,Georgia,University of Georgia 
31,Georgia Southern,Georgia Southern University 
32,Georgia State,Georgia State University 
33,Georgia Tech,Georgia Institute of Technology-Main Campus
34,Houston,University of Houston 
35,Illinois,University of Illinois Urbana-Champaign 
36,Indiana,Indiana University-Bloomington
37,Iowa,University of Iowa
38,Iowa State,Iowa State University 
39,Kansas,University of Kansas
40,Kansas State,Kansas State University
41,Kent State,Kent State University at Kent
42,Kentucky,University of Kentucky
43,Louisiana Tech,Louisiana Tech University  
44,"Louisiana, Lafayette",University of Louisiana at Lafayette
45,"Louisiana, Monroe",University of Louisiana at Monroe
46,Louisville,University of Louisville 
47,LSU,Louisiana State University and Agricultural & Mechanical College
48,Marshall,Marshall University 
49,Maryland,University of Maryland-College Park
50,Massachusetts,University of Massachusetts-Amherst 
51,Memphis,University of Memphis
52,Miami (Ohio),Miami University-Oxford
53,Michigan,University of Michigan-Ann Arbor
54,Michigan State,Michigan State University
55,Middle Tennessee,Middle Tennessee State University
56,Minnesota,University of Minnesota-Twin Cities
57,Mississippi State,Mississippi State University
58,Missouri,University of Missouri-Columbia 
59,NC State,North Carolina State University at Raleigh
60,Nebraska,University of Nebraska-Lincoln
61,Nevada,University of Nevada-Reno
62,New Mexico,University of New Mexico-Main Campus
63,New Mexico State,New Mexico State University-Main Campus
64,North Carolina,University of North Carolina at Chapel Hill
65,North Texas,University of North Texas
66,Northern Illinois,Northern Illinois University
67,Ohio,Ohio University-Main Campus
68,Ohio State,Ohio State University-Main Campus
69,Oklahoma,University of Oklahoma-Norman Campus
70,Oklahoma State,Oklahoma State University-Main Campus
71,Old Dominion,Old Dominion University
72,Ole Miss,University of Mississippi 
73,Oregon,University of Oregon 
74,Oregon State,Oregon State University
75,Penn State,Pennsylvania State University-Main Campus
76,Purdue,Purdue University-Main Campus
77,Rutgers,Rutgers University-New Brunswick
78,San Diego State,San Diego State University
79,San Jose State,San Jose State University 
80,South Alabama,University of South Alabama
81,South Carolina,University of South Carolina-Columbia
82,South Florida,University of South Florida
83,Southern Mississippi,University of Southern Mississippi
84,Tennessee,The University of Tennessee-Knoxville
85,Texas,The University of Texas at Austin
86,Texas A&M,Texas A & M University-College Station
87,Texas State,Texas State University
88,Texas Tech,Texas Tech University
89,Toledo,University of Toledo
90,UAB,University of Alabama at Birmingham
91,UCF,University of Central Florida
92,UCLA,University of California-Los Angeles
93,UNLV,University of Nevada-Las Vegas
94,Utah,University of Utah
95,Utah State,Utah State University
96,UTEP,The University of Texas at El Paso
97,UTSA,The University of Texas at San Antonio
98,Virginia,University of Virginia-Main Campus
99,Virginia Tech,Virginia Polytechnic Institute and State University
100,Washington,University of Washington-Seattle Campus
101,Washington State,Washington State University
102,West Virginia,West Virginia University 
103,Western Kentucky,Western Kentucky University 
104,Western Michigan,Western Michigan University
105,Wisconsin,University of Wisconsin-Madison 
106,Wyoming,University of Wyoming
