d1_id,UNITID,school_name,short_name
2,200800,University of Akron Main Campus,Akron
3,100751,The University of Alabama,Alabama
4,197869,Appalachian State University,App State
5,104179,University of Arizona,Arizona
6,104151,Arizona State University Campus Immersion,Arizona State
7,106397,University of Arkansas,Arkansas
8,106458,Arkansas State University,Arkansas State
9,100858,Auburn University,Auburn
10,150136,Ball State University,Ball State
11,142115,Boise State University,Boise State
12,201441,Bowling Green State University-Main Campus,Bowling Green
13,196088,University at Buffalo,Buffalo
14,110635,University of California-Berkeley,California
15,169248,Central Michigan University,Central Michigan
16,199139,University of North Carolina at Charlotte,Charlotte
17,201885,University of Cincinnati-Main Campus,Cincinnati
18,217882,Clemson University,Clemson
19,218724,Coastal Carolina University,Coastal Carolina
20,126614,University of Colorado Boulder,Colorado
21,126818,Colorado State University-Fort Collins,Colorado State
22,129020,University of Connecticut,Connecticut
23,198464,East Carolina University,East Carolina
24,169798,Eastern Michigan University,Eastern Michigan
25,133669,Florida Atlantic University,FAU
26,133951,Florida International University,FIU
27,134130,University of Florida,Florida
28,134097,Florida State University,Florida State
29,110556,California State University-Fresno,Fresno State
30,139959,University of Georgia,Georgia
31,139931,Georgia Southern University,Georgia Southern
32,139940,Georgia State University,Georgia State
33,139755,Georgia Institute of Technology-Main Campus,Georgia Tech
34,225511,University of Houston,Houston
35,145637,University of Illinois Urbana-Champaign,Illinois
36,151351,Indiana University-Bloomington,Indiana
37,153658,University of Iowa,Iowa
38,153603,Iowa State University,Iowa State
39,155317,University of Kansas,Kansas
40,155399,Kansas State University,Kansas State
41,203517,Kent State University at Kent,Kent State
42,157085,University of Kentucky,Kentucky
43,159647,Louisiana Tech University,Louisiana Tech
44,160658,University of Louisiana at Lafayette,"Louisiana, Lafayette"
45,159993,University of Louisiana at Monroe,"Louisiana, Monroe"
46,157289,University of Louisville,Louisville
47,159391,Louisiana State University and Agricultural & Mechanical College,LSU
48,237525,Marshall University,Marshall
49,163286,University of Maryland-College Park,Maryland
50,166629,University of Massachusetts-Amherst,Massachusetts
51,220862,University of Memphis,Memphis
52,204024,Miami University-Oxford,Miami (Ohio)
53,170976,University of Michigan-Ann Arbor,Michigan
54,171100,Michigan State University,Michigan State
55,220978,Middle Tennessee State University,Middle Tennessee
56,174066,University of Minnesota-Twin Cities,Minnesota
57,176080,Mississippi State University,Mississippi State
58,178396,University of Missouri-Columbia,Missouri
59,199193,North Carolina State University at Raleigh,NC State
60,181464,University of Nebraska-Lincoln,Nebraska
61,182290,University of Nevada-Reno,Nevada
62,187985,University of New Mexico-Main Campus,New Mexico
63,188030,New Mexico State University-Main Campus,New Mexico State
64,199120,University of North Carolina at Chapel Hill,North Carolina
65,227216,University of North Texas,North Texas
66,147703,Northern Illinois University,Northern Illinois
67,204857,Ohio University-Main Campus,Ohio
68,204796,Ohio State University-Main Campus,Ohio State
69,207500,University of Oklahoma-Norman Campus,Oklahoma
70,207388,Oklahoma State University-Main Campus,Oklahoma State
71,232982,Old Dominion University,Old Dominion
72,176017,University of Mississippi,Ole Miss
73,209551,University of Oregon,Oregon
74,209542,Oregon State University,Oregon State
75,214777,Pennsylvania State University-Main Campus,Penn State
76,243780,Purdue University-Main Campus,Purdue
77,186380,Rutgers University-New Brunswick,Rutgers
78,122409,San Diego State University,San Diego State
79,122755,San Jose State University,San Jose State
80,102094,University of South Alabama,South Alabama
81,218663,University of South Carolina-Columbia,South Carolina
82,137351,University of South Florida,South Florida
83,176372,University of Southern Mississippi,Southern Mississippi
84,221759,The University of Tennessee-Knoxville,Tennessee
85,228778,The University of Texas at Austin,Texas
86,228723,Texas A & M University-College Station,Texas A&M
87,228459,Texas State University,Texas State
88,229115,Texas Tech University,Texas Tech
89,206084,University of Toledo,Toledo
90,100663,University of Alabama at Birmingham,UAB
91,132903,University of Central Florida,UCF
92,110662,University of California-Los Angeles,UCLA
93,182281,University of Nevada-Las Vegas,UNLV
94,230764,University of Utah,Utah
95,230728,Utah State University,Utah State
96,228796,The University of Texas at El Paso,UTEP
97,229027,The University of Texas at San Antonio,UTSA
98,234076,University of Virginia-Main Campus,Virginia
99,233921,Virginia Polytechnic Institute and State University,Virginia Tech
100,236948,University of Washington-Seattle Campus,Washington
101,236939,Washington State University,Washington State
102,238032,West Virginia University,West Virginia
103,157951,Western Kentucky University,Western Kentucky
104,172699,Western Michigan University,Western Michigan
105,240444,University of Wisconsin-Madison,Wisconsin
106,240727,University of Wyoming,Wyoming
