"UNITID","school_name","coach_comp_third_2019","support_comp_third_2019","coach_comp_2019","guarantees_2019","total_ops_2019","aid_2019","support_comp_2019","severance_2019","recruiting_2019","teamtravel_2019","equip_2019","game_expenses_2019","marketing_2019","camps_2019","spirit_2019","facilities_rentals_2019","overhead_2019","indirect_institutional_2019","medical_2019","memberships_2019","meals_2019","otherops_2019","bowl_expense_2019","prof_def_2019","bowl_coachcomp_2019","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",0,0,7539148,844107,35697117,8030376,5246569,0,715339,2856028,1409344,996210,637583,0,762809,919066,1348592,251041,570675,384414,402725,2118124,449442,797264,215525,72191498,80228711,46264202,309254195,59820
100751,"The University of Alabama",0,0,31572156,3985825,185317681,18195058,32100571,6750884,4026525,7442007,3761546,8837276,4206977,1692966,596812,19167825,11258536,2654551,3296893,241675,878044,15178362,7858954,NA,1614238,370635362,273733791,29440777,85757568,41134
100858,"Auburn University",0,0,27722793,4125450,139260711,16297822,25797084,284873,2188165,6948265,5255150,3234496,4640598,0,659964,11849047,13237537,0,898864,272513,1876027,12421093,1155295,13194705,395675,291716127,122580580,48032814,208187924,9505
102094,"University of South Alabama",0,0,5504017,820463,33964076,7353024,5024565,0,518294,2173741,1470971,790442,322702,0,353099,4185638,2881564,0,560777,115652,193468,1695659,0,NA,0,67928152,35767000,12176000,35455000,104223
104151,"Arizona State University Campus Immersion",0,0,19654513,1445796,118404377,16576282,20545569,120599,1617134,6101676,5859893,4092640,5233759,0,806034,11194448,16466971,1831854,1536363,58534,1760096,1957549,1278298,3294463,266369,240103217,402554000,82731000,361046000,44378
104179,"University of Arizona",1292850,27700,16381385,2288318,100565835,13432029,17159851,0,1822466,6101330,3397042,5550267,1501762,0,260199,13110771,6498046,1883443,1366986,158620,2168684,6164086,0,4525554,0,205657224,232468000,84578000,528754000,10853
106397,"University of Arkansas",175000,0,22104911,3932599,129620361,12763988,21851556,2823801,3275057,8028836,4444399,6276905,3327042,56540,1313719,15637278,7696616,0,1882493,85887,3654529,10289205,0,7877427,0,267118149,77294871,77673079,169365622,39458
106458,"Arkansas State University",1437300,356859,3268471,603620,35550592,7220695,2930306,0,522086,2597221,1748932,897209,468358,0,9704,2082538,1473017,0,286867,133207,124816,8536759,742294,0,110333,71101184,40474227,2656362,10741436,27174
110556,"California State University-Fresno",22408,1630,12625947,740061,50079039,8110310,8582988,648156,666909,3553131,1424812,3384880,1096248,276825,296093,306293,1424218,328838,1831400,606740,1013045,2056123,615405,NA,466579,100158078,110504482,6224320,5168970,49051
110635,"University of California-Berkeley",0,0,21594076,1391181,106676734,12009663,21984945,836341,1769353,7006002,4514213,5224630,4802534,0,163642,11107086,5495169,0,2656264,26341,1015857,4171328,708109,NA,2e+05,213353468,204746369,318866000,662825751,22868
