"UNITID","school_name","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",0,0,57.9801,4.9083,253.3987,60.0295,43.3915,2.6867,0.429,14.6316,10.0321,3.8681,4.0338,0,4.4777,9.5924,8.8927,1.474,3.0952,2.5169,4.616,15.9437,0.555,8.4492,0.2443,515.2465,677.5852,451.4398,2518.0123,0.4446
100751,"The University of Alabama",0,0,105.5365,0.9454,525.0789,57.0236,96.5342,3.0657,2.2658,20.1549,9.5389,14.1728,8.269,1.1561,0.6306,73.6822,39.045,8.1899,23.7252,1.1649,2.3912,36.4509,12.995,29.6449,7.1023,1078.7638,838.1337,197.5665,364.357,0.1426
100858,"Auburn University",0,0,161.1713,1.996,739.0131,91.1382,136.1694,92.3789,1.5747,24.8504,30.4814,19.514,6.5908,0,1.4338,57.9265,73.6313,0,4.4499,2.3853,5.5192,22.6028,2.6045,NA,2.5948,1478.0262,730.4923,234.1511,1319.7522,0.0516
102094,"University of South Alabama",0,0,19.8244,1.1079,93.0675,17.7427,12.2732,0.0964,1.1247,4.7112,3.9873,2.6379,0.4866,0,0.7488,19.9828,1.0716,0,2.363,0.3047,0.757,3.8472,0,NA,0,186.1351,104.4642,64.9401,99.8287,NA
104151,"Arizona State University Campus Immersion",5000,0,34.357,0.3197,159.5013,26.6688,32.9522,0.7705,0.5848,5.9418,7.6118,3.6735,1.8585,0,0.362,16.7592,16.554,2.7123,3.6223,0.0537,2.4901,2.2013,0,21.369,0,340.3716,824.044,117.3291,637.9806,0.1099
104179,"University of Arizona",1034800,0.0608,137.9372,2.2327,394.3278,59.0498,69.8208,0,2.4895,19.161,11.6245,3.8849,1.56,0,0.4239,18.6996,19.0476,10.7518,3.3436,0.4136,6.8913,22.5677,0,35.223,0,823.8786,1213.5875,340.0974,2262.575,0.0523
106397,"University of Arkansas",0,0,224.3028,7.2049,1141.4774,124.1454,224.9497,67.3979,3.9269,76.6442,37.5286,41.2899,18.0233,0.0146,8.6504,77.3668,74.0963,0,41.6085,0.5609,35.7845,69.1647,3.0278,212.742,5.7891,2495.6967,816.8369,759.8661,1725.2525,0.448
106458,"Arkansas State University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,144.7362,9.168,38.2182,0.1198
110556,"California State University-Fresno",0,0,64.5368,0.0262,211.3002,42.3772,45.9963,0.4398,0.7505,11.8278,12.1367,5.2792,0.7834,0.0443,1.32,1.6744,3.3017,1.9961,0.9022,2.7697,2.2172,12.9207,0,NA,0,422.6003,669.4163,35.6733,26.8368,0.295
110635,"University of California-Berkeley",0,0,109.8929,1.0012,442.7973,54.0061,112.7593,4.8814,1.8238,20.7048,23.3729,6.5183,9.4563,0,0.0099,44.2207,15.3756,0,13.6222,0.4078,6.7051,18.0392,NA,17.2954,0,902.89,1198.0979,274.4681,3505.5062,0.1061
110662,"University of California-Los Angeles",0,0,178.0478,1.5693,735.4188,104.8502,149.5829,0,1.7583,29.0604,21.4703,24.5204,1.4837,1.8814,0,62.6865,84.3397,0,8.7601,0.0625,17.7259,47.6194,0,NA,0,1470.8375,1683.3794,186.1636,7280.965,0.1164
122409,"San Diego State University",0,0,47.6479,0.404,195.0124,34.1565,45.6301,0.4556,0.4021,10.0689,4.9892,1.049,13.34,0.008,0.6184,13.7426,4.3433,8.4756,1.2096,1.5738,1.4461,5.4518,0,NA,0,390.0248,540.0774,69.0295,24.5206,0.0838
122755,"San Jose State University",0,0,31.7915,0.1609,103.2359,23.0661,20.7668,0,0.0843,6.963,2.5402,2.1014,0.5911,0,0.1348,2.583,0.0042,2.8612,4.0284,0.0708,0.656,4.0801,0.7523,NA,0,206.4719,319.8033,32.8517,5.6395,0.0768
126614,"University of Colorado Boulder",0,0,94.9125,0.5046,452.1508,85.5075,97.3698,4.3223,2.3044,17.9196,10.08,5.2239,1.3136,0.0372,0.7649,1.7753,54.86,14.8271,13.6738,0.3446,11.1398,29.7771,4.6906,NA,0.802,904.3015,1082.4675,741.6587,3294.1227,0.1681
126818,"Colorado State University-Fort Collins",10000,0,35.0772,0.3123,190.4546,36.3003,28.0469,0.1484,0.4658,7.0947,10.8798,1.5179,0.5783,0.107,0.0741,48.9424,4.7021,5.3777,2.3951,1.8956,1.9726,4.5276,0,3.7187,0,384.628,476.0836,187.8389,1045.6815,0.1565
129020,"University of Connecticut",0,0,59.9842,0.2575,188.6802,40.1763,39.6481,0.2244,0.897,11.3469,7.701,1.2612,0.3257,0,0.0227,5.3413,6.3085,0,3.1916,0.3877,2.3849,9.2214,0,NA,0,377.3604,858.7074,87.4972,554.5707,0.1448
132903,"University of Central Florida",0,0,66.085,0.008,273.9131,43.9055,53.5089,2.68,1.1233,12.4813,8.2555,6.238,4.4684,0,0.6468,25.0448,21.3837,0,3.8129,0.6128,5.5792,15.3698,0.8648,33.3339,1.8444,581.1601,1069.1155,109.5926,924.0511,0.2301
133669,"Florida Atlantic University",0,0,78.3775,0.9869,354.1126,41.8098,52.3656,0.1137,0.6401,19.9361,16.4837,13.4655,3.1404,0,0.2916,25.7511,22.8749,48.0121,11.5752,4.0916,6.0958,6.7346,1.3665,12.417,0,720.6422,969.3371,0,875.6117,0.286
133951,"Florida International University",0,0,22.0604,1.0494,90.7495,20.9831,12.5425,0,0.0375,5.0898,2.855,2.041,0.8799,0,0.4228,7.5824,8.327,3.2665,1.0436,1.4005,0,1.0901,0.078,30.6904,0,212.1895,597.0043,76.0195,584.4257,0.0695
134097,"Florida State University",0,0,76.3026,1.9125,462.3308,39.6709,83.1401,0.8225,1.0849,20.2642,17.7756,7.327,7.2152,0,0.4571,43.4721,53.9491,0,6.7803,9.452,6.1428,86.5619,0,29.6529,0,954.3145,522.4069,224.171,785.5737,0.0496
134130,"University of Florida",775000,0,121.5074,1.1528,577.0364,60.1677,152.1127,2.4115,3.0383,34.1983,17.1183,14.4097,6.438,0.5539,0.4277,40.9667,67.6377,0,9.1209,0.1612,9.4128,27.7245,4.8493,72.799,0,1226.8719,1127.7635,824.3836,3653.012,0.1658
137351,"University of South Florida",20000,0.0208,43.2384,1.6527,212.1432,30.4703,39.6477,8.3476,0.2934,14.2844,14.2234,10.8514,0.7795,0,0.328,12.2281,19.7159,0,4.9905,0.0966,3.4838,7.4073,0,37.6662,0,461.9526,648.4689,110.8103,1402.6796,0.1409
139755,"Georgia Institute of Technology-Main Campus",0,0,111.0369,2.7221,609.6302,81.699,97.014,1.8838,2.9126,29.3982,25.2771,27.1743,18.7874,0,3.0903,99.0938,58.9582,28.665,14.3377,1.9963,5.5837,0,0,1.4145,0,1220.675,364.6221,14.2467,7931.9634,0.2856
139931,"Georgia Southern University",0,0,21.3439,0.3224,110.0025,23.9694,21.844,0,0.1584,4.9044,2.6713,2.6033,2.2849,0,0.0292,6.9259,3.4842,5.8535,8.0509,0.3883,0.6889,2.9507,1.2911,0,0.2374,220.0049,181.0607,27.1664,148.5534,0.0849
139940,"Georgia State University",0,0,13.7248,0.0481,65.3313,15.8153,10.6435,0,0.0839,2.1448,1.8831,1.5099,0.2117,0,0.0225,8.0631,3.0226,0.4552,0.6118,0.2132,0.7812,5.4661,0.3554,NA,0.2751,130.6626,156.4658,0.0428,375.3232,0.1057
139959,"University of Georgia",0,0,71.5208,1.0897,301.063,29.2688,64.5628,0.4138,2.3073,12.3937,2.3365,11.3074,3.9459,0.5599,0.6891,23.2614,33.6609,0,5.4421,0.1878,8.0768,27.932,0.5914,113.6853,1.5149,715.8112,408.4971,176.418,1152.4413,0.033
142115,"Boise State University",0,0,26.1525,0.7965,112.4351,25.3719,22.287,0,0.3756,5.1439,1.3898,1.5711,0.5376,0.1028,0.4376,10.5482,4.9712,5.8656,2.6821,1.4244,1.4273,1.3501,0,NA,0,224.8703,81.4686,75.9993,129.3255,0.1059
145637,"University of Illinois Urbana-Champaign",0,0,96.6213,1.0574,444.7694,50.9709,98.4745,8.8702,2.9636,18.8668,12.8715,5.7432,3.6534,0.2149,1.1922,72.5819,45.7876,0,3.7776,0.9564,12.3401,7.8258,0,NA,0,889.5388,1152.7959,856.2671,3082.6451,0.111
147703,"Northern Illinois University",0,0,13.8258,0,54.7442,20.0069,8.3167,0,0.1562,3.3658,2.1538,0.0591,0.5024,0.0336,0.1652,0.9576,0.6246,0.8751,0.5615,0.358,0.4617,2.32,0,NA,0,109.4884,162.5405,0,71.0083,0.067
150136,"Ball State University",0,0,24.2561,0,99.6914,32.3242,16.9558,0,0.0803,5.0053,2.1786,1.8891,0.1223,0.0372,0.0346,0,0.2222,6.4059,1.5561,0.6452,0.368,6.4177,0.7852,0.5712,0.4075,199.9541,350.618,29.3283,48.0342,0.093
