"UNITID","d1_id","school_name","2018_capital_grants_gifts","2019_capital_grants_gifts","2020_capital_grants_gifts","2021_capital_grants_gifts","2022_capital_grants_gifts"
200800,2,"University of Akron Main Campus",1562455,734259,3473077,5805702,1076962
100751,3,"The University of Alabama",65669021,33713554,75191053,19291609,33892304
197869,4,"Appalachian State University",45978798,13420118,8781743,3512046,3293430
104179,5,"University of Arizona",11447000,11068000,85677000,17078000,18720000
104151,6,"Arizona State University Campus Immersion",15471000,24555000,27724000,25838000,63532000
106397,7,"University of Arkansas",85782493,54209072,32852948,8043572,49426023
106458,8,"Arkansas State University",1152672,849277,173462,6847363,1410617
100858,9,"Auburn University",26097996,15125719,14533281,42172503,12029012
150136,10,"Ball State University",4548601,4200638,1678487,7439839,5558626
142115,11,"Boise State University",27275727,15825339,7351466,873449,2215118
201441,12,"Bowling Green State University-Main Campus",849879,7507176,5636443,2912414,2479232
196088,13,"University at Buffalo",10545745,3755075,17272633,6592882,9577949
110635,14,"University of California-Berkeley",100925000,29354000,67088000,54881000,130262000
169248,15,"Central Michigan University",5047220,4051659,3244809,3009552,2941506
199139,16,"University of North Carolina at Charlotte",6193710,8142548,39370847,35861497,21331870
201885,17,"University of Cincinnati-Main Campus",15434562,7707142,9492492,9762497,12504349
217882,18,"Clemson University",17560990,24094118,19618843,3155493,4571968
218724,19,"Coastal Carolina University",2038739,3112709,1218115,23528,4970544
126614,20,"University of Colorado Boulder",10742140,10689539,5868035,4051523,8117097
126818,21,"Colorado State University-Fort Collins",57616099,25861442,22233701,28429440,16071363
129020,22,"University of Connecticut",5098573,3906863,2275601,11639723,1975804
198464,23,"East Carolina University",4320727,3967730,21085725,45602221,36255989
169798,24,"Eastern Michigan University",609736,1000000,1071541,1071541,1019873
133669,25,"Florida Atlantic University",1185312,52899,817881,0,1090463
133951,26,"Florida International University",7202632,4733283,1083497,6054764,30695848
134130,27,"University of Florida",71627000,25449000,14640000,84679000,12290000
134097,28,"Florida State University",8643640,4366218,3645269,13137438,49561330
110556,29,"California State University-Fresno",994556,1934800,1472450,666107,2482285
139959,30,"University of Georgia",66224163,40631467,20266719,10367560,107535332
139931,31,"Georgia Southern University",9059425,59246890,3816896,3757228,61205333
139940,32,"Georgia State University",23075638,13241198,11690007,16370920,9239187
139755,33,"Georgia Institute of Technology-Main Campus",8501537,56461678,13870824,38401964,16759632
225511,34,"University of Houston",0,0,0,0,0
145637,35,"University of Illinois Urbana-Champaign",5160537,3652607,5030433,16277424,12028901
151351,36,"Indiana University-Bloomington",12140924,11823412,8533516,8980756,2312311
153658,37,"University of Iowa",10496000,28430000,10277000,6281000,6154000
153603,38,"Iowa State University",221666,41384517,19134004,25360695,29740853
155317,39,"University of Kansas",84645007,13845739,12795434,6408637,21139760
155399,40,"Kansas State University",11109054,31883091,35380713,19427409,29894624
203517,41,"Kent State University at Kent",0,0,0,0,0
157085,42,"University of Kentucky",28086052,71570061,35584364,25997895,64214830
159647,43,"Louisiana Tech University",18041598,252871,0,1289139,88430
160658,44,"University of Louisiana at Lafayette",15969268,1924619,1923848,1883096,7160025
