"UNITID","d1_id","school_name","2018_discounts_to_tuiton","2019_discounts_to_tuiton","2020_discounts_to_tuiton","2021_discounts_to_tuiton","2022_discounts_to_tuiton"
200800,2,"University of Akron Main Campus",43015947,38482149,39291411,40493585,41486602
100751,3,"The University of Alabama",269470952,273733791,275547610,271660919,280492218
197869,4,"Appalachian State University",29263669,30769846,31390087,33656047,33143373
104179,5,"University of Arizona",214043000,232468000,267055000,287545000,329727000
104151,6,"Arizona State University Campus Immersion",374096000,402554000,462730000,536128000,586481000
106397,7,"University of Arkansas",77030077,77294871,81823058,79858872,88934151
106458,8,"Arkansas State University",39886068,40474227,39365713,37573809,35757960
100858,9,"Auburn University",116589276,122580580,122754700,131753054,150555527
150136,10,"Ball State University",82330178,82667515,82683812,81747278,77430773
142115,11,"Boise State University",25263700,27628700,27777200,29075000,29712200
201441,12,"Bowling Green State University-Main Campus",63567490,63371332,65390107,61353189,64705549
196088,13,"University at Buffalo",69999590,84783733,103350600,107384747,101228083
110635,14,"University of California-Berkeley",198518202,204746369,214988712,239564460,294646848
169248,15,"Central Michigan University",58087800,60775712,58984591,56983875,62231779
199139,16,"University of North Carolina at Charlotte",52263828,57865553,57717755,59835923,57527972
201885,17,"University of Cincinnati-Main Campus",98427605,105976499,102691189,114131746,115586544
217882,18,"Clemson University",106681831,110275074,106573415,117285327,124952449
218724,19,"Coastal Carolina University",34119296,46438246,48084102,48401050,54299634
126614,20,"University of Colorado Boulder",122863910,130375562,143620446,154539560,163153968
126818,21,"Colorado State University-Fort Collins",110741245,117831415,134211089,122041175,116474344
129020,22,"University of Connecticut",227667476,248756072,262298464,276835255,278956167
198464,23,"East Carolina University",47528519,50079868,49860716,47012777,48797792
169798,24,"Eastern Michigan University",57175880,56680271,55978588,54703338,61925196
133669,25,"Florida Atlantic University",66999415,85003931,85605807,88888211,91884993
133951,26,"Florida International University",165856293,176130120,193887705,189153663,196224665
134130,27,"University of Florida",198606000,214885000,254267000,240976000,245623000
134097,28,"Florida State University",160811485,181230095,194735951,137766010,136565929
110556,29,"California State University-Fresno",109093992,110504482,112152620,114803558,111224789
139959,30,"University of Georgia",140694979,148692303,152115813,166516475,175679587
139931,31,"Georgia Southern University",44210919,45303451,43917712,47657721,51803421
139940,32,"Georgia State University",73899307,70598442,79742828,76792765,86352959
139755,33,"Georgia Institute of Technology-Main Campus",52856767,53813649,47469979,51436516,54744989
225511,34,"University of Houston",117021895,128975441,149328752,163095484,163893323
145637,35,"University of Illinois Urbana-Champaign",236895325,244217549,257125484,264389120,298281145
151351,36,"Indiana University-Bloomington",180271538,203353559,200247661,197892096,210751490
153658,37,"University of Iowa",114863000,114490000,112251000,105674000,110246000
153603,38,"Iowa State University",141428395,147102705,153136715,146505715,153836724
155317,39,"University of Kansas",34518650,32518282,31221754,28155328,28767723
155399,40,"Kansas State University",50578403,50420423,44684292,41899029,44305080
203517,41,"Kent State University at Kent",71738214,77027621,77997591,77070209,95567524
157085,42,"University of Kentucky",165817699,176524210,189869440,166562936,177927306
159647,43,"Louisiana Tech University",36523537,36957317,37528633,36106588,35643075
160658,44,"University of Louisiana at Lafayette",32922463,33822138,33509062,32275977,32957988
159993,45,"University of Louisiana at Monroe",15686582,15178098,16248251,18526742,20009777
157289,46,"University of Louisville",92737000,96059000,98618000,101887000,95745000
159391,47,"Louisiana State University and Agricultural & Mechanical College",83108278,94389614,101668659,116665021,123280406
237525,48,"Marshall University",41981110,42089869,41949222,40872186,42538098
163286,49,"University of Maryland-College Park",104156795,109394701,116349482,129475304,140611335
