"UNITID","d1_id","school_name","2018_gifts","2019_gifts","2020_gifts","2021_gifts","2022_gifts"
200800,2,"University of Akron Main Campus",22340536,27235739,18926198,18103298,16903790
100751,3,"The University of Alabama",48858002,29440777,54380178,64036452,44942506
197869,4,"Appalachian State University",12865750,13353750,20529958,27939192,21451466
104179,5,"University of Arizona",81746000,84578000,88956000,80582000,109238000
104151,6,"Arizona State University Campus Immersion",75791000,82731000,76803000,76335000,76602000
106397,7,"University of Arkansas",76814127,77673079,84468279,74289067,77906165
106458,8,"Arkansas State University",2697962,2656362,2593269,2380027,2493124
100858,9,"Auburn University",47093103,48032814,42495971,42231953,52178255
150136,10,"Ball State University",9816248,7153385,13847099,6837946,7985790
142115,11,"Boise State University",28482810,32141995,35465134,27123074,32882833
201441,12,"Bowling Green State University-Main Campus",0,0,0,0,0
196088,13,"University at Buffalo",9565572,17135933,28747525,32281115,30375874
110635,14,"University of California-Berkeley",315857000,318866000,326789000,54881000,391721000
169248,15,"Central Michigan University",7881672,5826140,13985600,8567771,7736463
199139,16,"University of North Carolina at Charlotte",11805216,19924955,12428643,11587785,12873225
201885,17,"University of Cincinnati-Main Campus",69423803,61155627,58865824,53590773,86986142
217882,18,"Clemson University",69993957,79351861,74004226,152411325,95117860
218724,19,"Coastal Carolina University",5697000,3706199,2798112,2675080,3251688
126614,20,"University of Colorado Boulder",77464844,85769593,81462562,105883646,78723332
126818,21,"Colorado State University-Fort Collins",79063467,47547828,53810526,48151372,54497610
129020,22,"University of Connecticut",25438145,34299721,28721782,28207885,37901054
198464,23,"East Carolina University",16699261,16960597,12442119,27172010,18280895
169798,24,"Eastern Michigan University",5353865,7495972,8753703,10297434,12430588
133669,25,"Florida Atlantic University",0,0,0,0,0
133951,26,"Florida International University",26379957,24588509,24228254,24085876,27224659
134130,27,"University of Florida",126365000,184502000,185017000,176151000,206428000
134097,28,"Florida State University",49989350,80703179,85687819,59117026,72606344
110556,29,"California State University-Fresno",4711529,6224320,5758688,6117897,6735620
139959,30,"University of Georgia",77253233,55458690,67587587,71913633,87110021
139931,31,"Georgia Southern University",7282379,9613153,9441391,7150566,10511716
