"UNITID","d1_id","school_name","2018_research_spent","2019_research_spent","2020_research_spent","2021_research_spent","2022_research_spent"
200800,2,"University of Akron Main Campus",29012160,28143217,21624224,18845348,18034454
100751,3,"The University of Alabama",77055748,85757568,87882725,118097592,169667611
197869,4,"Appalachian State University",2907173,6096166,5563648,5694013,7720177
104179,5,"University of Arizona",497692000,528754000,548629000,536090000,576795000
104151,6,"Arizona State University Campus Immersion",333019000,361046000,390674000,415074000,457328000
106397,7,"University of Arkansas",163206957,169365622,164914624,168671034,186954141
106458,8,"Arkansas State University",11388071,10741436,12022714,9921527,10861280
100858,9,"Auburn University",192211547,208187924,220256565,238033142,263777680
150136,10,"Ball State University",12964680,13734574,11790248,11199281,13248016
142115,11,"Boise State University",32935995,34974133,45281423,46154461,42088072
201441,12,"Bowling Green State University-Main Campus",9683767,9474345,11086049,11939544,15802088
196088,13,"University at Buffalo",156049528,152284555,154385418,156334634,169970857
110635,14,"University of California-Berkeley",675981762,662825751,692475106,700939992,773319412
169248,15,"Central Michigan University",16563787,18114018,18361867,23740079,24854519
199139,16,"University of North Carolina at Charlotte",30623721,31610148,32223572,39637891,28343731
201885,17,"University of Cincinnati-Main Campus",195229291,202792763,200271498,211277417,250316443
217882,18,"Clemson University",195200899,208078626,220761727,224080901,245845525
218724,19,"Coastal Carolina University",1456275,1995038,1692130,1294153,1510831
126614,20,"University of Colorado Boulder",449009390,434258834,442824071,470288720,521977056
126818,21,"Colorado State University-Fort Collins",254178311,259368441,263687610,268054190,300177103
129020,22,"University of Connecticut",171627945,181631401,174969960,178785818,214573714
198464,23,"East Carolina University",29404973,37430063,42405504,48538174,44350750
169798,24,"Eastern Michigan University",4609080,6398911,8516762,6402699,6967333
133669,25,"Florida Atlantic University",47942510,70590655,76119979,80293592,76047244
133951,26,"Florida International University",144798893,160690983,173010165,185168271,189980956
134130,27,"University of Florida",743264000,760304000,786883000,780561000,862745000
134097,28,"Florida State University",196675848,200161932,205539807,207166772,229585739
110556,29,"California State University-Fresno",6523636,5168970,3377601,4602457,3385818
139959,30,"University of Georgia",445142301,460871801,470593530,469771944,514369516
139931,31,"Georgia Southern University",17560879,13913828,12762317,39101324,38526959
139940,32,"Georgia State University",193875128,195225515,195327935,184207139,222835613
