"UNITID","d1_id","school_name","address","state","total_assets","gifts","capital_grants_gifts","research_spent","discounts_to_tuiton"
200800,2,"University of Akron Main Campus","302 Buchtel Common, Akron, Ohio","Ohio",200596835,18926198,3473077,21624224,39291411
100751,3,"The University of Alabama","739 University Blvd, Tuscaloosa, Alabama","Alabama",725759658,54380178,75191053,87882725,275547610
197869,4,"Appalachian State University","287 Rivers St, Boone, North Carolina","North Carolina",179419525,20529958,8781743,5563648,31390087
104179,5,"University of Arizona","1401 E University Blvd, Tucson, Arizona","Arizona",505400000,88956000,85677000,548629000,267055000
104151,6,"Arizona State University Campus Immersion","University Drive and Mill Avenue, Tempe, Arizona","Arizona",615874000,76803000,27724000,390674000,462730000
106397,7,"University of Arkansas","1125 W Maple St, Administration Bldg 425, Fayetteville, Arkansas","Arkansas",615160306,84468279,32852948,164914624,81823058
106458,8,"Arkansas State University","2105 East, Aggie Road, Jonesboro, Arkansas","Arkansas",55728483,2593269,173462,12022714,39365713
100858,9,"Auburn University",", Auburn, Alabama","Alabama",475539565,42495971,14533281,220256565,122754700
150136,10,"Ball State University","2000 W. University Ave, Muncie, Indiana","Indiana",220317042,13847099,1678487,11790248,82683812
142115,11,"Boise State University","1910 University Dr, Boise, Idaho","Idaho",179264963,35465134,7351466,45281423,27777200
201441,12,"Bowling Green State University-Main Campus","220 McFall Ctr, Bowling Green, Ohio","Ohio",243152119,0,5636443,11086049,65390107
196088,13,"University at Buffalo","12 Capen Hall, Buffalo, New York","New York",537126884,28747525,17272633,154385418,103350600
110635,14,"University of California-Berkeley","200 California Hall, Berkeley, California","California",NA,326789000,67088000,692475106,214988712
169248,15,"Central Michigan University","106 Warriner Hall, Mount Pleasant, Michigan","Michigan",112266426,13985600,3244809,18361867,58984591
199139,16,"University of North Carolina at Charlotte","9201 University City Blvd, Charlotte, North Carolina","North Carolina",369214108,12428643,39370847,32223572,57717755
201885,17,"University of Cincinnati-Main Campus","2624 Clifton Avenue, Cincinnati, Ohio","Ohio",333944565,58865824,9492492,200271498,102691189
