"unitid","school_name","address","state","A01"
100690,"Amridge University","1200 Taylor Rd, Montgomery, Alabama","Alabama",9384788
100937,"Birmingham-Southern College","900 Arkadelphia Road, Birmingham, Alabama","Alabama",50743827
101189,"Faulkner University","5345 Atlanta Hwy, Montgomery, Alabama","Alabama",20868071
101365,"Herzing University-Birmingham","280 West Valley Ave, Birmingham, Alabama","Alabama",0
101435,"Huntingdon College","1500 East Fairview Avenue, Montgomery, Alabama","Alabama",50818280
101453,"Heritage Christian University","3625 Helton Dr, Florence, Alabama","Alabama",14434665
101541,NA,NA,NA,15671684
101675,"Miles College","5500 Myron Massey Blvd, Fairfield, Alabama","Alabama",23273985
101693,"University of Mobile","5735 College Parkway, Mobile, Alabama","Alabama",16454881
101912,"Oakwood University","7000 Adventist Blvd NW, Huntsville, Alabama","Alabama",25126437
102049,"Samford University","800 Lakeshore Drive, Birmingham, Alabama","Alabama",317435540
102058,"Selma University","1501 Boynton St, Dinkins Hall, Selma, Alabama","Alabama",0
102234,"Spring Hill College","4000 Dauphin St, Mobile, Alabama","Alabama",50356824
102270,"Stillman College","3601 Stillman Boulevard, Tuscaloosa, Alabama","Alabama",19060678
102298,"Talladega College","627 West Battle Street, Talladega, Alabama","Alabama",17081860
102377,"Tuskegee University","Kresge Center, 3rd Floor, Tuskegee, Alabama","Alabama",159872068
102395,"United States Sports Academy","One Academy Drive, Daphne, Alabama","Alabama",17053530
102580,"Alaska Bible College","248 E Elmwood Ave, Palmer, Alaska","Alaska",0
102669,"Alaska Pacific University","4101 University Dr, Anchorage, Alaska","Alaska",74723616
103945,NA,NA,NA,0
104188,NA,NA,NA,377246
104586,"Embry-Riddle Aeronautical University-Prescott","3700 Willow Creek Road, Prescott, Arizona","Arizona",NA
104665,"The School of Architecture","7610 E. McDonald Dr, Suite G, Scottsdale, Arizona","Arizona",NA
105589,"Prescott College","220 Grove Ave, Prescott, Arizona","Arizona",2200891
105899,"Arizona Christian University","1 W. Firestorm Way, Glendale, Arizona","Arizona",999388
106306,"Arkansas Baptist College","1600 Dr. Martin Luther King Jr. Drive, Little Rock, Arkansas","Arkansas",0
106342,"Lyon College","2300 Highland Road, Batesville, Arkansas","Arkansas",44535534
106546,"Baptist Health College Little Rock","11900 COLONEL GLENN RD STE 1000, Little Rock, Arkansas","Arkansas",NA
106713,"Central Baptist College","1501 College Avenue, Conway, Arkansas","Arkansas",3314633
106810,"Crowley's Ridge College","100 College Dr, Paragould, Arkansas","Arkansas",80841
107044,"Harding University","915 E. Market Ave., Searcy, Arkansas","Arkansas",162579192
107080,"Hendrix College","1600 Washington Ave, Conway, Arkansas","Arkansas",184432809
