"unitid","school_name","address","state","A01","H03A"
100690,"Amridge University","1200 Taylor Rd, Montgomery, Alabama","Alabama",9205532,0
100937,"Birmingham-Southern College","900 Arkadelphia Road, Birmingham, Alabama","Alabama",19174295,1128684
101189,"Faulkner University","5345 Atlanta Hwy, Montgomery, Alabama","Alabama",22659096,54051
101365,"Herzing University-Birmingham","280 West Valley Ave, Birmingham, Alabama","Alabama",0,NA
101435,"Huntingdon College","1500 East Fairview Avenue, Montgomery, Alabama","Alabama",57182330,442944
101453,"Heritage Christian University","3625 Helton Dr, Florence, Alabama","Alabama",17750070,1055391
101675,"Miles College","5500 Myron Massey Blvd, Fairfield, Alabama","Alabama",25642209,0
101693,"University of Mobile","5735 College Parkway, Mobile, Alabama","Alabama",22005510,254256
101912,"Oakwood University","7000 Adventist Blvd NW, Huntsville, Alabama","Alabama",25724163,0
102049,"Samford University","800 Lakeshore Drive, Birmingham, Alabama","Alabama",342830198,96568665
102058,"Selma University","1501 Boynton St, Dinkins Hall, Selma, Alabama","Alabama",9298,0
102234,"Spring Hill College","4000 Dauphin St, Mobile, Alabama","Alabama",57602366,1473967
102270,"Stillman College","3601 Stillman Boulevard, Tuscaloosa, Alabama","Alabama",19839522,0
102298,"Talladega College","627 West Battle Street, Talladega, Alabama","Alabama",335023,0
102377,"Tuskegee University","Kresge Center, 3rd Floor, Tuskegee, Alabama","Alabama",183876119,2236130
102395,"United States Sports Academy","One Academy Drive, Daphne, Alabama","Alabama",15346880,0
102580,"Alaska Bible College","248 E Elmwood Ave, Palmer, Alaska","Alaska",2037281,1916310
102669,"Alaska Pacific University","4101 University Dr, Anchorage, Alaska","Alaska",89661298,0
104586,"Embry-Riddle Aeronautical University-Prescott","3700 Willow Creek Road, Prescott, Arizona","Arizona",NA,9757000
104665,"The School of Architecture","7610 E. McDonald Dr, Suite G, Scottsdale, Arizona","Arizona",NA,20631
105589,"Prescott College","220 Grove Ave, Prescott, Arizona","Arizona",3371700,31553
105899,"Arizona Christian University","1 W. Firestorm Way, Glendale, Arizona","Arizona",1101307,0
106306,"Arkansas Baptist College","1600 Dr. Martin Luther King Jr. Drive, Little Rock, Arkansas","Arkansas",317687,NA
106342,"Lyon College","2300 Highland Road, Batesville, Arkansas","Arkansas",75905861,1006155
106546,"Baptist Health College Little Rock","11900 COLONEL GLENN RD STE 1000, Little Rock, Arkansas","Arkansas",NA,208198
106713,"Central Baptist College","1501 College Avenue, Conway, Arkansas","Arkansas",3818793,65826
106810,"Crowley's Ridge College","100 College Dr, Paragould, Arkansas","Arkansas",104932,102359
107044,"Harding University","915 E. Market Ave., Searcy, Arkansas","Arkansas",227328860,4615111
107080,"Hendrix College","1600 Washington Ave, Conway, Arkansas","Arkansas",220256747,7704569
107123,"Jefferson Regional School of Nursing","1600 West 40th Avenue, Pine Bluff, Arkansas","Arkansas",NA,NA
107141,"John Brown University","2000 W University St, Siloam Springs, Arkansas","Arkansas",157964134,1341154
107512,"Ouachita Baptist University","410 Ouachita St, Arkadelphia, Arkansas","Arkansas",121749841,1624213
107558,"University of the Ozarks","415 N College Ave, Clarksville, Arkansas","Arkansas",120105712,574186
107600,"Philander Smith University","900 W. Daisy Bates Drive, Little Rock, Arkansas","Arkansas",14988232,3621302
107840,"Shorter College","604 Locust St, N Little Rock, Arkansas","Arkansas",0,NA
107877,"Williams Baptist University","60 W Fulbright Avenue, Walnut Ridge, Arkansas","Arkansas",12875667,140596
108269,"Academy of Chinese Culture and Health Sciences","1600 Broadway, Ste. 200, Oakland, California","California",0,NA
108852,"American Academy of Dramatic Arts-Los Angeles","1336 North La Brea Avenue, Los Angeles, California","California",0,0
108861,"Berkeley School of Theology","2606 Dwight Way, Berkeley, California","California",7701750,200360
108870,"American Film Institute Conservatory","2021 N Western Ave, Los Angeles, California","California",26160299,553270
109651,"Art Center College of Design","1700 Lida St, Pasadena, California","California",158990000,19722000
109785,"Azusa Pacific University","901 E Alosta, Azusa, California","California",86377937,928699
110060,"Bethesda University","730 N. Euclid St, Anaheim, California","California",0,NA
110097,"Biola University","13800 Biola Ave, La Mirada, California","California",173139000,1617061
110316,"California Institute of Integral Studies","1453 Mission Street, San Francisco, California","California",11585416,0
110361,"California Baptist University","8432 Magnolia Ave, Riverside, California","California",72345066,34255661
110370,"California College of the Arts","1111 Eighth Street, San Francisco, California","California",49788000,2693000
110404,"California Institute of Technology","1200 E California Blvd, Pasadena, California","California",4164549000,144687000
110413,"California Lutheran University","60 W Olsen Rd, Thousand Oaks, California","California",150771382,1910153
110918,"California Christian College","5364 E. Belmont Avenue, Fresno, California","California",409253,0
