"UNITID","school_name","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021"
200800,"University of Akron Main Campus","$0","$0","$5,681,179","$13,500","$25,667,906","$5,655,403","$2,922,080","$166,063","$93,128","$903,231","$1,165,849","$388,918","$332,494","$12,419","$33,275","$4,958,678","$1,313,432","0","$673,110","$293,086","$293,737","$768,324","$0","$894,279","$0"
100751,"The University of Alabama","$0","$0","$34,207,110","$306,433","$170,191,728","$18,482,838","$31,289,252","$993,680","$734,399","$6,532,726","$3,091,793","$4,593,765","$2,680,210","$374,719","$204,408","$23,882,312","$12,655,492","$2,654,551","$7,689,965","$377,565","$775,044","$11,814,678","$4,212,006","$9,608,681","$2,302,054"
197869,"Appalachian State University","$0","$0","$5,989,380","$218,874","$33,425,114","$7,228,290","$4,766,076","$62,096","$132,144","$1,588,745","$2,027,714","$616,868","$23,199","$0","$3,114","$5,411,311","$1,351,125","$1,817,389","$281,057","$108,873","$491,296","$832,247","$278,399","($223,003)","$196,917"
104179,"University of Arizona","$1,034,800","$14,400","$32,682,555","$529,000","$93,431,241","$13,991,142","$16,543,211","$0","$589,862","$4,539,970","$2,754,295","$920,488","$369,632","$0","$100,428","$4,430,653","$4,513,098","$2,547,512","$792,229","$97,994","$1,632,822","$5,347,150","$0","$8,345,675","$0"
104151,"Arizona State University Campus Immersion","$5,000","$0","$22,352,899","$207,992","$103,772,499","$17,350,884","$21,438,876","$501,313","$380,468","$3,865,775","$4,952,292","$2,389,977","$1,209,169","$0","$235,517","$10,903,652","$10,770,108","$1,764,665","$2,356,712","$34,959","$1,620,087","$1,432,154","$0","$13,902,811","$0"
106397,"University of Arkansas","$0","$0","$21,929,191","$704,390","$111,597,676","$12,137,197","$21,992,436","$6,589,227","$383,920","$7,493,199","$3,669,020","$4,036,744","$1,762,068","$1,431","$845,716","$7,563,847","$7,244,102","$0","$4,067,897","$54,836","$3,498,505","$6,761,953","$296,016","$20,798,931","$565,981"
106458,"Arkansas State University","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
100858,"Auburn University","$0","$0","$29,069,173","$360,000","$133,289,885","$16,437,870","$24,559,777","$16,661,648","$284,012","$4,482,071","$5,497,690","$3,519,581","$1,188,730","$0","$258,601","$10,447,746","$13,280,295","$0","$802,600","$430,212","$995,445","$4,076,683","$469,751","($9,742,886)","$468,000"
150136,"Ball State University","$0","$0","$5,655,368","$0","$23,243,252","$7,536,443","$3,953,288","$0","$18,716","$1,167,001","$507,948","$440,458","$28,526","$8,678","$8,063","$0","$51,809","$1,493,543","$362,819","$150,420","$85,795","$1,496,311","$183,066","$133,184","$95,000"
142115,"Boise State University","$0","$0","$9,333,469","$284,250","$40,126,524","$9,054,874","$7,953,911","$0","$134,040","$1,835,789","$496,001","$560,721","$191,855","$36,682","$156,165","$3,764,508","$1,774,165","$2,093,356","$957,190","$508,357","$509,369","$481,822","$0","($205,947)","$0"
201441,"Bowling Green State University-Main Campus","$0","$0","$5,498,611","$62,500","$20,119,961","$6,506,164","$3,586,069","$0","$94,146","$1,144,071","$876,620","$284,943","$50,646","$0","$0","$171,526","$0","$0","$208,007","$249,219","$383,551","$1,003,888","$0","$118,744","$0"
196088,"University at Buffalo","$1,675","$0","$8,082,171","$40,500","$36,214,285","$8,119,908","$8,809,854","$526,728","$194,198","$1,683,618","$891,280","$310,220","$50,487","$68,973","$0","$1,077,096","$1,052,680","$2,452,699","$1,607,275","$162,566","$0","$749,044","$146,830","$54,410","$186,483"
110635,"University of California-Berkeley","$0","$0","$21,973,516","$200,188","$88,539,090","$10,798,732","$22,546,669","$976,055","$364,684","$4,140,014","$4,673,499","$1,303,351","$1,890,830","$0","$1,973","$8,842,103","$3,074,405","$0","$2,723,819","$81,532","$1,340,711","$3,607,019","($10)","$3,458,278","$0"
169248,"Central Michigan University","$36,997","$22,133","$6,774,466","$6,500","$27,939,171","$5,631,805","$4,759,601","$480,019","$146,742","$1,055,750","$991,067","$377,448","$73,367","$3,000","$0","$1,917,168","$2,733,976","$148,171","$1,325,344","$164,371","$531,507","$759,849","($110)","($3,984,334)","$0"
199139,"University of North Carolina at Charlotte","$0","$0","$6,740,839","$101,574","$37,727,070","$8,136,443","$4,939,014","$106,250","$138,385","$1,873,009","$1,768,043","$660,429","$398,025","$0","$82,527","$2,404,289","$2,466,489","$2,880,014","$3,000,688","$350,568","$411,576","$1,268,908","$0","($320,281)","$0"
201885,"University of Cincinnati-Main Campus","$0","$0","$12,846,851","$670,016","$62,550,722","$9,990,024","$7,390,726","$310,111","$279,484","$2,997,176","$341,523","$953,535","$2,836,512","$0","$93,779","$13,750,935","$824,709","$2,259,243","$640,585","$70,376","$930,766","$3,888,822","$887,738","($412,426)","$587,811"
217882,"Clemson University","$0","$0","$25,174,327","$607,900","$117,413,403","$18,172,287","$26,617,229","$40,786","$297,097","$5,354,363","$3,351,891","$3,967,606","$3,040,613","$441,336","$59,614","$9,458,601","$5,864,560","$0","$1,139,375","$34,621","$2,695,762","$8,619,167","$889,091","$5,719,401","$1,587,177"
218724,"Coastal Carolina University","$0","$0","$8,115,869","$290,086","$36,086,347","$9,267,682","$4,037,673","$0","$323,782","$2,059,764","$795,004","$1,178,732","$13,082","$0","$177,607","$2,726,924","$1,639,711","$4,027,684","$183,777","$127,096","$309,709","$277,097","$380,068","$658,821","$155,000"
126614,"University of Colorado Boulder","$0","$0","$13,550,276","$72,037","$64,551,755","$12,207,564","$13,901,096","$617,078","$328,983","$2,558,311","$1,439,088","$745,797","$187,544","$5,316","$109,208","$253,454","$7,832,138","$2,116,804","$1,952,154","$49,204","$1,590,380","$4,251,162","$669,661","($17,477,532)","$114,500"
126818,"Colorado State University-Fort Collins","$10,000","$0","$8,991,841","$80,054","$48,821,899","$9,305,352","$7,189,656","$38,039","$119,416","$1,818,671","$2,788,973","$389,095","$148,235","$27,417","$18,990","$12,546,083","$1,205,355","$1,378,534","$613,963","$485,931","$505,675","$1,160,619","$0","$953,271","$0"
129020,"University of Connecticut","$0","$0","$19,338,055","$83,000","$60,827,848","$12,952,288","$12,781,995","$72,333","$289,189","$3,658,072","$2,482,687","$406,599","$104,996","$0","$7,303","$1,721,948","$2,033,762","$0","$1,028,912","$124,981","$768,868","$2,972,860","$0","($2,472,947)","$0"
198464,"East Carolina University","$0","$0","$8,877,761","$261,400","$43,329,991","$8,154,692","$8,267,626","$265,699","$239,964","$2,132,302","$1,668,955","$511,433","$12,918","$0","$61,709","$5,707,279","$2,859,198","$1,183,073","$517,896","$45,545","$850,884","$1,711,657","$0","$363,300","$0"
