UNITID,XF2A01,F2A01,XF2A19,F2A19,XF2A20,F2A20,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2C10,F2C10,XF2C12,F2C12,XF2C121,F2C121,XF2C122,F2C122,XF2C13,F2C13,XF2C131,F2C131,XF2C132,F2C132,XF2C14,F2C14,XF2C141,F2C141,XF2C142,F2C142,XF2C15,F2C15,XF2C151,F2C151,XF2C152,F2C152,XF2C16,F2C16,XF2C161,F2C161,XF2C162,F2C162,XF2C17,F2C17,XF2C171,F2C171,XF2C172,F2C172,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D17,F2D17,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E021,F2E021,XF2E022,F2E022,XF2E031,F2E031,XF2E032,F2E032,XF2E041,F2E041,XF2E042,F2E042,XF2E051,F2E051,XF2E052,F2E052,XF2E061,F2E061,XF2E062,F2E062,XF2E071,F2E071,XF2E072,F2E072,XF2E081,F2E081,XF2E091,F2E091,XF2E092,F2E092,XF2E101,F2E101,XF2E102,F2E102,XF2E121,F2E121,XF2E122,F2E122,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,F2FHA,XF2H01,F2H01,XF2H02,F2H02,XF2H03,F2H03,XF2H03A,F2H03A,XF2H03B,F2H03B,XF2H03C,F2H03C,XF2H03D,F2H03D,XF2I01,F2I01,XF2I02,F2I02,XF2I03,F2I03,XF2I04,F2I04,XF2I05,F2I05,XF2I06,F2I06,XF2I07,F2I07   
100690,"R",9205532,"R",2674712,"R",0,"R",15939891,"R",948846,"R",0,"R",14495619,"R",495426,"R",174819,"R",320607,"R",14991045,"R",1340625,"R",1065662,"R",3171516,"R",0,"R",0,"R",5577803,"R",2903091,"R",7413051,"R",7256314,"R",0,"R",156737,"R",14834308,"R",0,"R",14991045,"R",1,"R",31582,"R",0,"R",0,"R",0,"R",816078,"R",847661,"R",847660,"R",0,"R",847660,"R",0,"R",0,"R",0,"R",31582,"R",31582,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",816078,"R",816078,"R",0,"R",7219385,"R",7219385,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22412,"R",22412,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",75662,"R",75662,"R",0,"R",0,"R",75662,"R",75662,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",44984,"R",60707,"R",-15723,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",50608,"R",34885,"R",15723,"R",0,"R",7413051,"R",7413051,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",7413051,"R",7413051,"R",0,"R",0,"R",2518813,"R",1828056,"R",0,"R",0,"R",0,"R",0,"R",681522,"R",485366,"R",1092868,"R",835538,"R",2963111,"R",1081551,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7256314,"R",4230511,"R",532218,"R",186021,"R",176711,"R",0,"R",2130853, 1,"R",174817,"R",174819,"R",2,"R",0,"R",0,"R",0,"R",2,"R",172460,"R",7370978,"R",156737,"R",14834308,"R",14991045,"R",0,"R",7256314
100937,"R",19174295,"R",64655000,"R",0,"R",106162162,"R",39447010,"R",29314696,"R",9964175,"R",56750977,"R",51470511,"R",5280466,"R",66715152,"R",2524130,"R",188060337,"R",31264374,"R",0,"R",495422,"R",222344263,"R",157689263,"R",31292016,"R",70999109,"R",0,"R",-39707093,"R",105759465,"R",662780,"R",66715152,"R",1204146,"R",1356783,"R",0,"R",0,"R",5110081,"R",4246530,"R",11917540,"R",9356611,"R",0,"R",9356611,"R",1204146,"R",1204146,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",3776960,"R",3776960,"Z",0,"R",4375505,"R",4375505,"R",0,"R",11322316,"R",11322316,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",1680327,"R",1680327,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",6647954,"R",6647954,"R",0,"R",0,"R",6647954,"R",6647954,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",-465904,"R",-465904,"R",0,"R",0,"R",0,"R",0,"R",11762513,"R",11762513,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",344810,"R",344810,"R",0,"R",0,"R",31292016,"R",31292016,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",31292016,"R",31292016,"R",0,"R",0,"R",12042041,"R",8126554,"Z",0,"Z",0,"Z",0,"Z",0,"R",3013472,"R",529771,"R",9609472,"R",1716523,"R",39525348,"R",4384934,"R",6471099,"R",128357,"R",337677,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",70999109,"R",14886139,"R",4140402,"R",5258278,"R",2825579,"R",1554204,"R",42334507, 1,"R",53984787,"R",50831353,"R",-3153434,"R",1128684,"R",-465904,"R",-3776960,"R",-39254,"R",-36958206,"R",31292016,"R",-39707093,"R",105759465,"R",-7159382,"R",29314696,"R",70999109
101189,"R",22659096,"R",63901629,"Z",0,"R",102873739,"R",44476332,"R",31205976,"R",35885266,"R",22512141,"R",13709810,"R",8802331,"R",58397407,"R",8096644,"R",74854202,"R",36600814,"R",3934014,"Z",0,"R",123485674,"R",59584045,"R",56125958,"R",53258188,"R",0,"R",2867770,"R",55529637,"R",0,"R",58397407,"R",4618598,"R",4241254,"R",1658127,"Z",0,"R",319605,"R",12828321,"R",23665905,"R",12511299,"R",1098295,"R",13609594,"R",0,"R",0,"R",0,"R",337619,"R",310373,"R",27246,"R",124049,"R",114038,"R",10011,"R",0,"Z",0,"Z",0,"R",319605,"R",293813,"R",25792,"R",12828321,"R",11793075,"R",1035246,"R",35183649,"R",35183649,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11163778,"R",0,"R",11163778,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4700380,"R",1052770,"R",3593559,"R",54051,"R",4700380,"R",1052770,"R",3593559,"R",54051,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-25890,"R",36809,"R",-179543,"R",116844,"Z",0,"Z",0,"R",3397529,"R",3397529,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1706512,"R",1552844,"R",153668,"R",0,"R",56125958,"R",41223601,"R",14731462,"R",170895,"R",0,"R",12408928,"R",-12408928,"Z",0,"R",56125958,"R",53632529,"R",2322534,"R",170895,"R",21471387,"R",12596646,"Z",0,"Z",0,"Z",0,"Z",0,"R",3180149,"R",1189981,"R",10225577,"R",3342632,"R",9595270,"R",2796458,"R",4882170,"R",270486,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3903635,"R",0,"R",53258188,"R",20196203,"R",4770332,"R",4725891,"R",3579450,"R",1268621,"R",18717691, 1,"R",21332492,"R",20765130,"R",-567362,"R",54051,"R",73322,"R",-694735,"R",0,"R",374341,"R",53632529,"R",2867770,"R",55529637,"R",8911550,"R",31205976,"R",53258188
101365,"R",0,"R",4240509,"R",0,"R",18735028,"R",5657220,"R",0,"R",13077808,"R",0,"R",0,"R",0,"R",13077808,"R",280000,"R",4294665,"R",1097549,"R",40822,"R",0,"R",5713036,"R",1472527,"R",8765934,"R",7315367,"R",-26020,"R",1424547,"R",11653261,"R",0,"R",13077808,"R",2136823,"R",192873,"R",45834,"R",0,"R",0,"R",851640,"R",3227170,"R",851640,"R",0,"R",851640,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",851640,"R",851640,"R",0,"R",8519742,"R",8519742,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",246192,"R",246192,"R",0,"R",0,"R",8765934,"R",8765934,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8765934,"R",8765934,"R",0,"R",0,"R",2810789,"R",1475447,"R",0,"R",0,"R",0,"R",0,"R",433874,"R",202083,"R",2549644,"R",686634,"R",1037054,"R",279060,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",484006,"R",21025,"R",7315367,"R",2664249,"R",539464,"R",201943,"R",158141,"R",0,"R",3751570, 2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1424547,"R",8765934,"R",1424547,"R",11653261,"R",0,"R",0,"R",7315367
101435,"R",57182330,"R",30365032,"R",0,"R",93441263,"R",24374132,"R",21241629,"R",11769793,"R",57297338,"R",51636517,"R",5660821,"R",69067131,"R",3049311,"R",50127036,"R",14030814,"R",295506,"R",0,"R",67502667,"R",37137635,"R",22101081,"R",25029686,"R",0,"R",-2928605,"R",71995736,"R",0,"R",69067131,"R",1580560,"R",193889,"R",1022717,"R",0,"R",3038927,"R",6995364,"R",12831457,"R",11250897,"R",0,"R",11250897,"R",0,"R",0,"R",0,"R",193889,"R",193889,"R",0,"R",1022717,"R",1022717,"R",0,"R",0,"R",0,"R",0,"R",10034291,"R",10034291,"R",0,"R",0,"R",0,"R",0,"R",11495206,"R",11495206,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2741694,"R",2741694,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3225577,"R",2687894,"R",183328,"R",354355,"R",2782633,"R",2687894,"R",94739,"R",0,"R",442944,"R",0,"R",88589,"R",354355,"R",0,"R",0,"R",0,"R",0,"R",-2623106,"R",1279402,"R",-1130977,"R",-2771531,"R",0,"R",0,"R",6237930,"R",6237930,"R",0,"R",0,"R",368655,"R",368655,"R",0,"R",0,"R",655125,"R",239250,"R",415875,"R",0,"R",22101081,"R",25050031,"R",-531774,"R",-2417176,"R",0,"R",121808,"R",-121808,"R",0,"R",22101081,"R",25171839,"R",-653582,"R",-2417176,"R",6487466,"R",4234145,"R",0,"R",0,"R",0,"R",0,"R",1684118,"R",814998,"R",6510660,"R",2994757,"R",4558657,"R",2032080,"R",4053655,"R",194845,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1735130,"R",0,"R",25029686,"R",10270825,"R",2139329,"R",1664269,"R",2130745,"R",552861,"R",8271657, 1,"R",60206711,"R",57163022,"R",-3043689,"R",442944,"R",-2757295,"R",-239250,"R",-490088,"R",142153,"R",25171839,"R",-2928605,"R",71995736,"R",8324708,"R",21241629,"R",25029686
101453,"R",17750070,"R",3075976,"R",0,"R",22146000,"R",1551864,"R",0,"R",5521173,"R",15072963,"R",9366959,"R",5706004,"R",20594136,"R",1019751,"R",2841330,"R",3825988,"R",0,"R",0,"R",7687069,"R",4611093,"R",3067142,"R",3331617,"R",0,"R",-264475,"R",20858616,"R",-5,"R",20594136,"R",144405,"R",5947,"R",0,"R",0,"R",473107,"R",0,"R",623459,"R",245,"R",0,"R",245,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"R",0,"Z",0,"Z",0,"R",245,"R",245,"R",0,"R",383659,"R",383659,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",363820,"R",363820,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4030768,"R",2646913,"R",336931,"R",1046924,"R",3980768,"R",2596913,"R",336931,"R",1046924,"R",50000,"R",50000,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-1856767,"R",-480238,"R",-1377697,"R",1168,"R",0,"R",0,"R",69758,"R",69758,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",75904,"R",0,"R",75904,"R",0,"R",3067142,"R",2983912,"R",-964862,"R",1048092,"R",0,"R",529340,"R",-529340,"R",0,"R",3067142,"R",3513252,"R",-1494202,"R",1048092,"R",665315,"R",473906,"R",79168,"R",63051,"R",106780,"R",52980,"R",355659,"R",229657,"R",489168,"R",314721,"R",1548411,"R",557792,"R",87116,"R",10888,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",3331617,"R",1702995,"R",291035,"R",500166,"R",233634,"R",0,"R",603787, 1,"R",15150265,"R",14385884,"R",-764381,"R",1055391,"R",-1290432,"R",-529340,"R",0,"R",181635,"R",3840819,"R",-264475,"R",20858616,"R",4335179,"R",0,"R",3331617
101675,"R",25642209,"R",55881649,"R",0,"R",95783028,"R",17619082,"R",14887978,"R",74376283,"R",3787663,"R",2829745,"R",957918,"R",78163946,"R",6705231,"R",80309397,"R",21343489,"R",2482143,"R",0,"R",110840260,"R",54958611,"R",42361714,"R",42112615,"R",0,"R",249099,"R",77914847,"R",0,"R",78163946,"R",6744477,"R",605598,"R",687542,"R",0,"R",1120432,"R",2350845,"R",11508894,"R",3609487,"R",0,"R",3609487,"R",0,"R",0,"R",0,"R",605598,"R",605598,"Z",0,"R",687542,"R",687542,"Z",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"Z",0,"R",2316347,"R",2316347,"R",0,"R",6744477,"R",6744477,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",21033528,"R",21033528,"R",0,"R",0,"R",687542,"R",687542,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",1932968,"R",1467154,"R",465814,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1932968,"R",1467154,"R",465814,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-3650683,"R",-3650683,"R",0,"Z",0,"Z",0,"Z",0,"R",5623999,"R",5623999,"Z",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",9989883,"R",9989883,"R",0,"R",0,"R",42361714,"R",41895900,"R",465814,"R",0,"R",0,"R",0,"R",0,"R",0,"R",42361714,"R",41895900,"R",465814,"R",0,"R",6509874,"R",4552146,"Z",0,"R",0,"R",7502,"R",0,"R",1940761,"R",1271864,"R",8520352,"R",3679564,"R",21600438,"R",2327448,"R",3533688,"R",498024,"Z",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",42112615,"R",12329046,"R",2500229,"R",4199871,"R",1998459,"R",460465,"R",20624545, 1,"R",29292887,"R",25642204,"R",-3650683,"R",0,"R",-3468149,"R",-182534,"R",0,"R",3899782,"R",46012397,"R",249099,"R",77914847,"R",78163946,"R",14887978,"R",42112615
101693,"R",22005510,"R",36104357,"R",0,"R",71415413,"R",34715829,"R",31309658,"R",10427866,"R",26271718,"R",19604084,"R",6667634,"R",36699584,"R",1297996,"R",61500708,"R",13843053,"R",70407,"R",1042470,"R",77754634,"R",41650277,"R",28065565,"R",29113105,"R",0,"R",-1047540,"R",37749506,"R",-2382,"R",36699584,"R",2325350,"R",147244,"R",1146158,"R",0,"R",2202325,"R",12552585,"R",18373662,"R",14860680,"R",0,"R",14860680,"R",0,"R",0,"R",0,"R",105770,"R",105770,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2202325,"R",2202325,"R",0,"R",12552585,"R",12552585,"R",0,"R",13954852,"R",13954852,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2721297,"R",245575,"R",2475722,"R",0,"R",20540,"R",20540,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6376755,"R",2020130,"R",4112978,"R",243647,"R",4925318,"R",2020130,"R",2661541,"R",243647,"R",1451437,"R",0,"R",1451437,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-1760510,"R",-369369,"R",-1362539,"R",-28602,"R",0,"R",0,"R",6255735,"R",6255735,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",496896,"R",482967,"R",2979,"R",10950,"R",28065565,"R",22610430,"R",5229140,"R",225995,"R",0,"R",6635617,"R",-6635617,"R",0,"R",28065565,"R",29246047,"R",-1406477,"R",225995,"R",10696386,"R",5783255,"R",0,"R",0,"R",0,"R",0,"R",711367,"R",124176,"R",3000959,"R",1360473,"R",5379415,"R",1934568,"R",9283504,"R",1004215,"R",0,"R",0,"R",0,"R",0,"R",0,"R",41474,"R",0,"R",29113105,"R",10206687,"R",3456306,"R",3434771,"R",2250183,"R",1873199,"R",7891959, 1,"R",20155794,"R",22082866,"R",1927072,"R",254256,"R",-1691454,"R",-690484,"R",4054754,"R",132942,"R",29246047,"R",-1047540,"R",37749506,"R",17405083,"R",31309658,"R",29113105
101912,"R",25724163,"R",59412027,"R",0,"R",128063334,"R",43426280,"R",30382341,"R",52659046,"R",31978008,"R",6120449,"R",25857559,"R",84637054,"R",5780055,"R",86527631,"R",37590954,"R",0,"R",4912516,"R",134811156,"R",75399129,"R",54456136,"R",63374302,"R",0,"R",-8918166,"R",93555220,"R",0,"R",84637054,"R",3200362,"R",4809916,"R",127743,"R",0,"R",11671434,"R",40062,"R",19849517,"R",9443020,"R",10278754,"R",19721774,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",19721774,"R",9443020,"R",10278754,"R",17620690,"R",17620690,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13082052,"R",6691073,"R",6390979,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5935252,"R",4127079,"R",1237732,"R",570441,"R",1940366,"R",1584439,"R",-214514,"R",570441,"R",3994886,"R",2542640,"R",1452246,"R",0,"R",7819850,"R",7819850,"R",0,"R",0,"R",-3922554,"R",315950,"R",-3007029,"R",-1231475,"R",359743,"R",359743,"R",8970357,"R",8970357,"R",0,"R",0,"R",2180126,"R",2180126,"R",0,"R",0,"R",2410620,"R",2076705,"R",60225,"R",273690,"R",54456136,"R",50161573,"R",4681907,"R",-387344,"R",0,"R",8088851,"R",-8088851,"R",0,"R",54456136,"R",58250424,"R",-3406944,"R",-387344,"R",11883851,"R",7726471,"R",378053,"R",112539,"R",497495,"R",139384,"R",4214072,"R",1750031,"R",5600984,"R",1533842,"R",13006198,"R",3883070,"R",5130454,"R",625430,"R",0,"R",0,"R",0,"R",3169396,"R",533653,"R",19493799,"R",1,"R",63374302,"R",16304421,"R",6998132,"R",3997304,"R",4809682,"R",408059,"R",30856704, 1,"R",26286780,"R",19810091,"R",-6476689,"R",0,"R",-3590574,"R",-2779000,"R",-107115,"R",-5123878,"R",58250424,"R",-8918166,"R",93555220,"R",41637741,"R",30382341,"R",63374302
102049,"R",342830198,"R",347388555,"R",0,"R",871369127,"R",370304342,"R",289251898,"R",113541627,"R",387523158,"R",266949735,"R",120573423,"R",501064785,"R",91896415,"R",460036944,"R",99889303,"R",14286639,"R",0,"R",666109301,"R",318720746,"R",257272144,"R",182692926,"R",31113833,"R",105693051,"R",395371734,"R",0,"R",501064785,"R",1891107,"R",3385571,"R",1578383,"R",0,"R",5969000,"R",68017000,"R",80841061,"R",73986000,"R",0,"R",73986000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5969000,"R",5969000,"R",0,"R",68017000,"R",68017000,"R",0,"R",118939193,"R",118939193,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8009823,"R",6254320,"R",1755503,"R",0,"R",11112,"R",0,"R",11112,"R",0,"R",0,"R",0,"R",0,"R",0,"R",112011070,"R",5615120,"R",9908623,"R",96487327,"R",110413161,"R",5183893,"R",8741941,"R",96487327,"R",1597909,"R",431227,"R",1166682,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-16205295,"R",-6789120,"R",-9428875,"R",12700,"R",0,"R",0,"R",25644408,"R",25644408,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8861833,"R",8355767,"R",506066,"R",0,"R",257272144,"R",158019688,"R",2752429,"R",96500027,"R",0,"R",-14987494,"R",14987494,"R",0,"R",257272144,"R",143032194,"R",17739923,"R",96500027,"R",91710251,"R",51823777,"R",0,"R",0,"R",3700434,"R",658309,"R",12511870,"R",4677347,"R",33215740,"R",10282866,"R",21762191,"R",12344631,"R",19792440,"R",1392428,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",182692926,"R",81179358,"R",24254227,"R",12638053,"R",16250931,"R",8204249,"R",40166108, 1,"R",368437572,"R",426345689,"R",57908117,"R",96568665,"R",-14519459,"R",-16564720,"R",-7576369,"R",22864140,"R",185332428,"R",105693051,"R",395371734,"R",155131721,"R",289251898,"R",182692926
