"UNITID","school_name.x","coach_comp_third_2018","support_comp_third_2018","coach_comp_2018","guarantees_2018","total_ops_2018","aid_2018","support_comp_2018","severance_2018","recruiting_2018","teamtravel_2018","equip_2018","game_expenses_2018","marketing_2018","camps_2018","spirit_2018","facilities_rentals_2018","overhead_2018","indirect_institutional_2018","medical_2018","memberships_2018","meals_2018","otherops_2018","bowl_expense_2018","prof_def_2018","bowl_coachcomp_2018","total_expendature.x","discounts_to_tuition.x","gifts.x","reseach_expendatures.x","graduation_rate.x","school_name.y","coach_comp_third_2019","support_comp_third_2019","coach_comp_2019","guarantees_2019","total_ops_2019","aid_2019","support_comp_2019","severance_2019","recruiting_2019","teamtravel_2019","equip_2019","game_expenses_2019","marketing_2019","camps_2019","spirit_2019","facilities_rentals_2019","overhead_2019","indirect_institutional_2019","medical_2019","memberships_2019","meals_2019","otherops_2019","bowl_expense_2019","prof_def_2019","bowl_coachcomp_2019","total_expendature.y","discounts_to_tuition.y","gifts.y","reseach_expendatures.y","graduation_rate.y","school_name.x.x","coach_comp_third_2020","support_comp_third_2020","coach_comp_2020","guarantees_2020","total_ops_2020","aid_2020","support_comp_2020","severance_2020","recruiting_2020","teamtravel_2020","equip_2020","game_expenses_2020","marketing_2020","camps_2020","spirit_2020","facilities_rentals_2020","overhead_2020","indirect_institutional_2020","medical_2020","memberships_2020","meals_2020","otherops_2020","bowl_expense_2020","prof_def_2020","bowl_coachcomp_2020","total_expendature.x.x","discounts_to_tuition.x.x","gifts.x.x","reseach_expendatures.x.x","graduation_rate.x.x","school_name.y.y","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021","total_expendature.y.y","discounts_to_tuition.y.y","gifts.y.y","reseach_expendatures.y.y","graduation_rate.y.y","school_name","coach_comp_third_2022","support_comp_third_2022","coach_comp_2022","guarantees_2022","total_ops_2022","aid_2022","support_comp_2022","severance_2022","recruiting_2022","teamtravel_2022","equip_2022","game_expenses_2022","marketing_2022","camps_2022","spirit_2022","facilities_rentals_2022","overhead_2022","indirect_institutional_2022","medical_2022","memberships_2022","meals_2022","otherops_2022","bowl_expense_2022","prof_def_2022","bowl_coachcomp_2022","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",0,0,6579779,788930,35809571,8522659,5850694,0,655128,2749655,1477238,1152635,720852,0,696201,1074179,1052294,232275,557932,371482,436253,2286707,456441,-1073284,148237,70545858,49334451,34009483,309591511,51017,"University of Alabama at Birmingham",0,0,7539148,844107,35697117,8030376,5246569,0,715339,2856028,1409344,996210,637583,0,762809,919066,1348592,251041,570675,384414,402725,2118124,449442,797264,215525,72191498,80228711,46264202,309254195,59820,"University of Alabama at Birmingham",0,0,7664029,732426,35441324,7736658,5441451,290794,508630,2373823,1347430,1010052,657784,0,912611,1178823,1323125,218652,561347,393394,403672,2114601,413323,284107,158699,71166755,85456029,18705016,302659583,63107,"University of Alabama at Birmingham",0,0,7848887,664443,34303084,8126308,5873992,363708,58076,1980712,1358069,523626,546069,0,606159,1298543,1203819,199543,419000,340714,624882,2158329,75130,1143779,33075,69749947,91726065,61112310,340868357,60192,"University of Alabama at Birmingham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,95706620,37066668,360236807,59737
100751,"The University of Alabama",0,0,27979991,4166549,166533013,16741760,29501703,844883,3310990,6881601,3763116,8268221,4550561,1640264,791183,17328857,14319317,1997219,3090576,150657,1046462,11744998,8414105,10948924,0,344014950,269470952,48858002,77055748,40678,"The University of Alabama",0,0,31572156,3985825,185317681,18195058,32100571,6750884,4026525,7442007,3761546,8837276,4206977,1692966,596812,19167825,11258536,2654551,3296893,241675,878044,15178362,7858954,NA,1614238,370635362,273733791,29440777,85757568,41134,"The University of Alabama",0,0,30821496,4583000,173141125,17365698,32183991,850044,3396572,5464311,3448983,8048587,3718321,725324,512024,23822661,9237264,2654551,3022769,160549,854409,17356340,2921416,16141424,1087332,361518191,275547610,54380178,87882725,43762,"The University of Alabama",0,0,34207110,306433,170191728,18482838,31289252,993680,734399,6532726,3091793,4593765,2680210,374719,204408,23882312,12655492,2654551,7689965,377565,775044,11814678,4212006,9608681,2302054,349655409,271660919,64036452,118097592,46222,"The University of Alabama",0,0,35145423,4963000,195881911,18952318,34278979,612003,3824089,7079927,3228551,9054652,4768059,788310,606206,22395628,14577963,2654551,4028239,327931,918301,18502145,7292345,18483446,1916606,410280583,280492218,44942506,169667611,48647
100858,"Auburn University",0,0,26238272,3887937,139798191,16998307,26746067,2932576,2083737,7328164,5471951,2969449,4286178,0,589192,11982783,13070935,0,935294,249860,1459164,9870802,1922123,7822378,775400,287418760,116589276,47093103,192211547,9708,"Auburn University",0,0,27722793,4125450,139260711,16297822,25797084,284873,2188165,6948265,5255150,3234496,4640598,0,659964,11849047,13237537,0,898864,272513,1876027,12421093,1155295,13194705,395675,291716127,122580580,48032814,208187924,9505,"Auburn University",0,0,28588886,5096579,135816431,17520682,25803270,734877,1702093,5604836,5417199,3059496,3763302,0,597064,11071316,14810108,0,823611,308083,1518651,7362657,1443721,17887318,590000,289520180,122754700,42495971,220256565,10133,"Auburn University",0,0,29069173,360000,133289885,16437870,24559777,16661648,284012,4482071,5497690,3519581,1188730,0,258601,10447746,13280295,0,802600,430212,995445,4076683,469751,NA,468000,266579770,131753054,42231953,238033142,9312,"Auburn University",0,0,27449777,4215945,151590763,17038195,25396250,8237638,2730647,8632590,6204610,3067546,4516712,0,655092,12690741,14971506,0,1412131,422514,2225015,10585260,870914,22977679,267680,326159205,150555527,52178255,263777680,9686
102094,"University of South Alabama",0,0,5906508,210500,29894011,7018864,4985031,0,400965,2054137,2353707,727558,342509,0,291734,1690857,1007877,NA,605963,115298,193896,1988607,0,-853053,0,58934969,35207000,10948000,33118000,50953,"University of South Alabama",0,0,5504017,820463,33964076,7353024,5024565,0,518294,2173741,1470971,790442,322702,0,353099,4185638,2881564,0,560777,115652,193468,1695659,0,NA,0,67928152,35767000,12176000,35455000,104223,"University of South Alabama",0,0,5539642,62107,28321414,6267712,5084876,0,351163,1366126,1249374,573356,272904,0,284151,3697320,1477614,0,568550,113762,235408,1177349,0,NA,0,56642828,38995000,14688000,39373000,NA,"University of South Alabama",0,0,7475500,417785,35094465,6690534,4628042,36365,424100,1776544,1503571,994731,183472,0,282375,7535231,404099,0,891048,114913,285447,1450708,0,NA,0,70188930,39392000,24488000,37644000,NA,"University of South Alabama",0,0,7579172,675362,33001239,6997986,4528628,4530,535150,2706601,1457136,1037544,184568,16684,333230,2712653,731440,0,817639,481869,580211,1620836,0,6118744,0,72121222,36331000,30074000,37274000,56261
104151,"Arizona State University Campus Immersion",12500,0,20307346,1763586,126782387,15708959,19287625,12861526,1543683,5791714,6334660,4187023,4938676,21727,547620,15062742,9037481,1942501,1630447,43478,1846874,2151022,1242588,-13145632,518609,240419142,374096000,75791000,333019000,40724,"Arizona State University Campus Immersion",0,0,19654513,1445796,118404377,16576282,20545569,120599,1617134,6101676,5859893,4092640,5233759,0,806034,11194448,16466971,1831854,1536363,58534,1760096,1957549,1278298,3294463,266369,240103217,402554000,82731000,361046000,44378,"Arizona State University Campus Immersion",5000,0,21191081,2777041,117912821,16831956,21605192,1315594,1342096,5506808,5690933,4364221,4400888,0,604499,11872314,11154418,1766785,1855129,55603,1678808,2210177,1301872,NA,382406,235825642,462730000,76803000,390674000,67207,"Arizona State University Campus Immersion",5000,0,22352899,207992,103772499,17350884,21438876,501313,380468,3865775,4952292,2389977,1209169,0,235517,10903652,10770108,1764665,2356712,34959,1620087,1432154,0,13902811,0,221447809,536128000,76335000,415074000,71491,"Arizona State University Campus Immersion",5000,0,24577801,1679756,124008192,17101566,23296020,362648,1269014,6037951,5374815,6510882,4019928,0,437442,12181318,9645903,2305308,2367604,61876,2191462,2516596,1845366,NA,219936,248016384,586481000,76602000,457328000,72219
104179,"University of Arizona",1188198,22700,18928250,1273050,103329464,12977775,15770347,8274496,1495385,5619198,3828130,5030543,1620431,0,247049,7693625,6672934,1650854,1265564,111321,2024684,6214307,1024698,-7461747,395925,199197181,214043000,81746000,497692000,11094,"University of Arizona",1292850,27700,16381385,2288318,100565835,13432029,17159851,0,1822466,6101330,3397042,5550267,1501762,0,260199,13110771,6498046,1883443,1366986,158620,2168684,6164086,0,4525554,0,205657224,232468000,84578000,528754000,10853,"University of Arizona",1245850,35350,18251162,1678100,101084625,13050203,17709791,0,1475592,5784185,2964256,5156210,1482270,0,232965,13567250,6266864,2115843,1270391,159481,1945860,6693002,0,NA,0,202169250,267055000,88956000,548629000,11986,"University of Arizona",1034800,14400,32682555,529000,93431241,13991142,16543211,0,589862,4539970,2754295,920488,369632,0,100428,4430653,4513098,2547512,792229,97994,1632822,5347150,0,8345675,0,195208157,287545000,80582000,536090000,12388,"University of Arizona",1014800,14400,21380323,1842910,124944926,13829484,19982551,0,2594234,9412194,4620624,4689803,1608565,0,232091,13890644,14061147,2601602,1144200,171775,2944477,8909102,0,NA,0,249889852,329727000,109238000,576795000,11629
106397,"University of Arkansas",175000,0,22857684,4673531,127369722,12583859,21411079,4609403,2394790,8238339,3965232,4749873,3722614,0,1240483,12938402,7957887,0,1643439,64600,3550375,10593132,0,2756388,0,257495832,77030077,76814127,163206957,43731,"University of Arkansas",175000,0,22104911,3932599,129620361,12763988,21851556,2823801,3275057,8028836,4444399,6276905,3327042,56540,1313719,15637278,7696616,0,1882493,85887,3654529,10289205,0,7877427,0,267118149,77294871,77673079,169365622,39458,"University of Arkansas",175000,0,22573923,4908585,123857351,12968081,23313334,2021817,1944282,5246132,3872320,5550687,2547847,61334,1210261,16016911,8822460,0,1614146,97260,3462352,7450619,0,NA,0,247714702,81823058,84468279,164914624,43868,"University of Arkansas",0,0,21929191,704390,111597676,12137197,21992436,6589227,383920,7493199,3669020,4036744,1762068,1431,845716,7563847,7244102,0,4067897,54836,3498505,6761953,296016,20798931,565981,243994283,79858872,74289067,168671034,43799,"University of Arkansas",0,0,26915488,4808748,144319041,15443333,24446009,2479012,2262001,10852298,3174497,7261453,2026799,83667,1177524,10500595,17136024,0,1391696,109160,4037225,7133640,2196445,8194714,883427,296832796,88934151,77906165,186954141,38069
106458,"Arkansas State University",1461494,214514,3231585,322500,40098989,7265690,2770473,0,475581,2394868,1665012,727809,344273,0,24304,2019228,960887,0,259991,137309,48782,15431036,257820,0,85833,80197978,39886068,2697962,11388071,28700,"Arkansas State University",1437300,356859,3268471,603620,35550592,7220695,2930306,0,522086,2597221,1748932,897209,468358,0,9704,2082538,1473017,0,286867,133207,124816,8536759,742294,0,110333,71101184,40474227,2656362,10741436,27174,"Arkansas State University",1300581,397408,3290795,379850,36282680,7858369,3020674,0,399959,2282835,2294325,991023,525043,0,7092,2936530,1695073,0,266609,132597,110566,7993966,317052,0,82333,72565360,39365713,2593269,12022714,28756,"Arkansas State University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37573809,2380027,9921527,31113,"Arkansas State University",1694784,358695,3534533,439750,32376515,7149603,3289857,0,444885,3037320,1985068,1118759,520261,0,56501,1328758,1335701,0,286490,113471,566550,5115529,0,0,0,64753030,35757960,2493124,10861280,31522
110556,"California State University-Fresno",40075,5500,11817716,973675,51050676,7811164,8378282,1255981,647539,3744047,1705246,2496054,1154354,290492,323428,302088,1423572,1340927,1782138,594048,743405,2690287,1137436,-413926,393222,101687426,109093992,4711529,6523636,46202,"California State University-Fresno",22408,1630,12625947,740061,50079039,8110310,8582988,648156,666909,3553131,1424812,3384880,1096248,276825,296093,306293,1424218,328838,1831400,606740,1013045,2056123,615405,NA,466579,100158078,110504482,6224320,5168970,49051,"California State University-Fresno",19171,3875,11761404,913148,48106185,7912018,9172728,213698,471401,2946077,1507765,3336629,1032063,276924,278181,485624,1210244,1504351,1535237,623999,928810,1972838,0,NA,0,96212370,112152620,5758688,3377601,46556,"California State University-Fresno",0,0,11067928,4500,36237555,7267597,7888267,75432,128716,2028437,2081422,905371,134359,7594,226371,287156,566239,342331,154721,475000,380245,2215869,0,NA,0,72475110,114803558,6117897,4602457,50596,"California State University-Fresno",12832,1993,10353796,974515,46515828,7019627,8449696,665388,680707,3198344,2270114,3093979,526093,127538,252821,313489,1238832,413522,1447887,617498,930469,3020955,652405,7608751,253328,100640407,111224789,6735620,3385818,50713
110635,"University of California-Berkeley",0,0,18704642,1869289,110558630,13028152,20549921,1408503,1397437,6349334,6152867,4572538,3922991,0,157012,20696282,5085469,0,2367772,91315,1548833,2656273,0,-19311141,0,201806119,198518202,315857000,675981762,20784,"University of California-Berkeley",0,0,21594076,1391181,106676734,12009663,21984945,836341,1769353,7006002,4514213,5224630,4802534,0,163642,11107086,5495169,0,2656264,26341,1015857,4171328,708109,NA,2e+05,213353468,204746369,318866000,662825751,22868,"University of California-Berkeley",0,0,21050441,1110748,101829452,10906347,23748752,1115358,1424911,5558582,5305002,5111296,4446741,0,230197,9315098,4753869,0,2402473,56366,1979761,2865420,301370,3215130,146720,206874034,214988712,326789000,692475106,21434,"University of California-Berkeley",0,0,21973516,200188,88539090,10798732,22546669,976055,364684,4140014,4673499,1303351,1890830,0,1973,8842103,3074405,0,2723819,81532,1340711,3607019,NA,3458278,0,180536468,239564460,54881000,700939992,21225,"University of California-Berkeley",0,0,24104486,1790755,114485848,13128738,25700531,553564,2058379,8117376,5713272,4976888,4244985,0,112271,9448049,5303838,0,3156284,123618,2289441,3663373,0,3726331,0,232698027,294646848,391721000,773319412,19519
