"UNITID","school_name.x","coach_comp_third_2018","support_comp_third_2018","coach_comp_2018","guarantees_2018","total_ops_2018","aid_2018","support_comp_2018","severance_2018","recruiting_2018","teamtravel_2018","equip_2018","game_expenses_2018","marketing_2018","camps_2018","spirit_2018","facilities_rentals_2018","overhead_2018","indirect_institutional_2018","medical_2018","memberships_2018","meals_2018","otherops_2018","bowl_expense_2018","prof_def_2018","bowl_coachcomp_2018","total_expendature.x","discounts_to_tuition.x","gifts.x","reseach_expendatures.x","graduation_rate.x","school_name.y","coach_comp_third_2019","support_comp_third_2019","coach_comp_2019","guarantees_2019","total_ops_2019","aid_2019","support_comp_2019","severance_2019","recruiting_2019","teamtravel_2019","equip_2019","game_expenses_2019","marketing_2019","camps_2019","spirit_2019","facilities_rentals_2019","overhead_2019","indirect_institutional_2019","medical_2019","memberships_2019","meals_2019","otherops_2019","bowl_expense_2019","prof_def_2019","bowl_coachcomp_2019","total_expendature.y","discounts_to_tuition.y","gifts.y","reseach_expendatures.y","graduation_rate.y","school_name.x.x","coach_comp_third_2020","support_comp_third_2020","coach_comp_2020","guarantees_2020","total_ops_2020","aid_2020","support_comp_2020","severance_2020","recruiting_2020","teamtravel_2020","equip_2020","game_expenses_2020","marketing_2020","camps_2020","spirit_2020","facilities_rentals_2020","overhead_2020","indirect_institutional_2020","medical_2020","memberships_2020","meals_2020","otherops_2020","bowl_expense_2020","prof_def_2020","bowl_coachcomp_2020","total_expendature.x.x","discounts_to_tuition.x.x","gifts.x.x","reseach_expendatures.x.x","graduation_rate.x.x","school_name.y.y","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021","total_expendature.y.y","discounts_to_tuition.y.y","gifts.y.y","reseach_expendatures.y.y","graduation_rate.y.y","school_name","coach_comp_third_2022","support_comp_third_2022","coach_comp_2022","guarantees_2022","total_ops_2022","aid_2022","support_comp_2022","severance_2022","recruiting_2022","teamtravel_2022","equip_2022","game_expenses_2022","marketing_2022","camps_2022","spirit_2022","facilities_rentals_2022","overhead_2022","indirect_institutional_2022","medical_2022","memberships_2022","meals_2022","otherops_2022","bowl_expense_2022","prof_def_2022","bowl_coachcomp_2022","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",0,0,39.2289,4.7036,213.4979,50.8124,34.882,0,3.9059,16.3935,8.8073,6.872,4.2977,0,4.1508,6.4043,6.2738,1.3848,3.3264,2.2148,2.601,13.6334,2.7213,-6.399,0.8838,420.5968,294.1337,202.7657,1845.795,0.3042,"University of Alabama at Birmingham",0,0,48.5563,5.4365,229.9094,51.7201,33.7908,0,4.6072,18.3944,9.077,6.4162,4.1064,0,4.9129,5.9193,8.6857,1.6168,3.6755,2.4758,2.5938,13.6419,2.8947,5.1348,1.3881,464.9537,516.7178,297.9674,1991.7702,0.3853,"University of Alabama at Birmingham",0,0,52.6788,5.0343,243.6064,53.178,37.4019,1.9988,3.4961,16.3165,9.2616,6.9426,4.5213,0,6.2728,8.1027,9.0945,1.5029,3.8584,2.704,2.7746,14.5347,2.841,1.9528,1.0908,489.1657,587.3832,128.5692,2080.3348,0.4338,"University of Alabama at Birmingham",0,0,57.9801,4.9083,253.3987,60.0295,43.3915,2.6867,0.429,14.6316,10.0321,3.8681,4.0338,0,4.4777,9.5924,8.8927,1.474,3.0952,2.5169,4.616,15.9437,0.555,8.4492,0.2443,515.2465,677.5852,451.4398,2518.0123,0.4446,"University of Alabama at Birmingham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,788.2408,305.2815,2966.9144,0.492
100751,"The University of Alabama",0,0,83.374,12.4154,496.2306,49.8866,87.9084,2.5176,9.866,20.5056,11.2132,24.6374,13.5596,4.8876,2.3575,51.6361,42.6683,5.9513,9.2092,0.4489,3.1182,34.9974,25.0721,32.6253,0,1025.0866,802.9623,145.5858,229.6087,0.1212,"The University of Alabama",0,0,94.2458,11.8981,553.1904,54.3139,95.8232,20.152,12.0195,22.2151,11.2286,26.3801,12.5582,5.0537,1.7815,57.2177,33.6078,7.9241,9.8415,0.7214,2.621,45.3088,23.4597,NA,4.8186,1106.3808,817.1207,87.8834,255.9943,0.1228,"The University of Alabama",0,0,92.8185,13.8016,521.412,52.2966,96.9216,2.5599,10.2287,16.4557,10.3866,24.2382,11.1977,2.1843,1.542,71.7416,27.8179,7.9941,9.103,0.4835,2.573,52.2684,8.7978,48.6097,3.2745,1088.7069,829.8077,163.7651,264.6576,0.1318,"The University of Alabama",0,0,105.5365,0.9454,525.0789,57.0236,96.5342,3.0657,2.2658,20.1549,9.5389,14.1728,8.269,1.1561,0.6306,73.6822,39.045,8.1899,23.7252,1.1649,2.3912,36.4509,12.995,29.6449,7.1023,1078.7638,838.1337,197.5665,364.357,0.1426,"The University of Alabama",0,0,108.3571,15.3015,603.9251,58.432,105.6858,1.8869,11.7901,21.8282,9.954,27.9165,14.7004,2.4304,1.869,69.0481,44.9454,8.1843,12.4195,1.011,2.8312,57.0441,22.4831,56.9865,5.9091,1264.9395,864.7879,138.5626,523.1036,0.15
100858,"Auburn University",0,0,154.1451,22.8409,821.2891,99.862,157.1283,17.2284,12.2416,43.0516,32.1467,17.445,25.1805,0,3.4614,70.3967,76.7894,0,5.4947,1.4679,8.5723,57.9892,11.2921,45.9551,4.5553,1688.5333,684.9409,276.6635,1129.2081,0.057,"Auburn University",0,0,159.9109,23.7965,803.2851,94.0093,148.803,1.6432,12.6218,40.0791,30.3128,18.6573,26.7679,0,3.8068,68.3478,76.3569,0,5.1848,1.5719,10.8213,71.6475,6.664,76.1098,2.2823,1682.68,707.0706,277.0634,1200.8717,0.0548,"Auburn University",0,0,163.5913,29.1636,777.1686,100.2568,147.6514,4.2051,9.7397,32.072,30.9983,17.507,21.5344,0,3.4165,63.3523,84.7464,0,4.7129,1.7629,8.69,42.1306,8.2613,102.3548,3.3761,1656.692,702.4268,243.1704,1260.3518,0.058,"Auburn University",0,0,161.1713,1.996,739.0131,91.1382,136.1694,92.3789,1.5747,24.8504,30.4814,19.514,6.5908,0,1.4338,57.9265,73.6313,0,4.4499,2.3853,5.5192,22.6028,2.6045,NA,2.5948,1478.0262,730.4923,234.1511,1319.7522,0.0516,"Auburn University",0,0,148.0411,22.7373,817.5535,91.8897,136.9661,44.4269,14.7268,46.557,33.4625,16.5438,24.3594,0,3.533,68.4432,80.7437,0,7.6159,2.2787,11.9999,57.088,4.697,123.9223,1.4436,1759.0293,811.9703,281.4058,1422.5956,0.0522
102094,"University of South Alabama",0,0,16.3074,0.5812,82.535,19.3785,13.7633,0,1.107,5.6713,6.4984,2.0087,0.9456,0,0.8055,4.6683,2.7827,NA,1.673,0.3183,0.5353,5.4904,0,-2.3552,0,162.7148,97.2037,30.2266,91.4362,0.1407,"University of South Alabama",0,0,15.153,2.2588,93.5057,20.2434,13.833,0,1.4269,5.9845,4.0497,2.1761,0.8884,0,0.9721,11.5234,7.9332,0,1.5439,0.3184,0.5326,4.6683,0,NA,0,187.0114,98.4693,33.5215,97.6103,0.2869,"University of South Alabama",0,0,15.1012,0.1693,77.205,17.086,13.8615,0,0.9573,3.7241,3.4058,1.563,0.7439,0,0.7746,10.079,4.028,0,1.5499,0.3101,0.6417,3.2095,0,NA,0,154.41,106.3015,40.0399,107.3319,NA,"University of South Alabama",0,0,19.8244,1.1079,93.0675,17.7427,12.2732,0.0964,1.1247,4.7112,3.9873,2.6379,0.4866,0,0.7488,19.9828,1.0716,0,2.363,0.3047,0.757,3.8472,0,NA,0,186.1351,104.4642,64.9401,99.8287,NA,"University of South Alabama",0,0,19.0797,1.7001,83.0767,17.6166,11.4003,0.0114,1.3472,6.8136,3.6682,2.6119,0.4646,0.042,0.8389,6.8288,1.8413,0,2.0583,1.213,1.4606,4.0803,0,15.4032,0,181.5567,91.459,75.7078,93.8329,0.1416
104151,"Arizona State University Campus Immersion",12500,0,45.8938,3.9856,286.5229,35.5016,43.5892,29.0665,3.4887,13.089,14.3161,9.4625,11.1612,0.0491,1.2376,34.0412,20.4243,4.39,3.6847,0.0983,4.1739,4.8612,2.8082,-29.7086,1.172,543.3373,845.4414,171.2845,752.6091,0.092,"Arizona State University Campus Immersion",0,0,44.2249,3.2532,266.4233,37.2985,46.2299,0.2714,3.6387,13.7295,13.1854,9.2089,11.7766,0,1.8137,25.1888,37.0526,4.1219,3.457,0.1317,3.9604,4.4047,2.8763,7.4129,0.5994,540.2595,905.7922,186.1542,812.3945,0.0999,"Arizona State University Campus Immersion",5000,0,46.2556,6.0617,257.3785,36.7406,47.1595,2.8717,2.9295,12.0202,12.4221,9.5262,9.6062,0,1.3195,25.9147,24.3477,3.8565,4.0494,0.1214,3.6645,4.8243,2.8417,NA,0.8347,514.757,1010.0408,167.6446,852.758,0.1467,"Arizona State University Campus Immersion",5000,0,34.357,0.3197,159.5013,26.6688,32.9522,0.7705,0.5848,5.9418,7.6118,3.6735,1.8585,0,0.362,16.7592,16.554,2.7123,3.6223,0.0537,2.4901,2.2013,0,21.369,0,340.3716,824.044,117.3291,637.9806,0.1099,"Arizona State University Campus Immersion",5000,0,36.7206,2.5096,185.2749,25.5507,34.8055,0.5418,1.896,9.021,8.0303,9.7276,6.006,0,0.6536,18.1995,14.4115,3.4443,3.5373,0.0924,3.2742,3.7599,2.7571,NA,0.3286,370.5498,876.2341,114.4475,683.2726,0.1079
104179,"University of Arizona",1188198,0.0957,79.7852,5.3661,435.5482,54.7031,66.4742,34.8782,6.3033,23.6857,16.1361,21.2044,6.8303,0,1.0413,32.4297,28.1274,6.9586,5.3345,0.4692,8.5343,26.1942,4.3192,-31.4523,1.6689,839.6442,902.2214,344.5709,2097.8418,0.0468,"University of Arizona",1292850,0.1152,68.1558,9.5207,418.4106,55.8848,71.3947,0,7.5825,25.385,14.1336,23.0922,6.2482,0,1.0826,54.5482,27.0355,7.8362,5.6874,0.6599,9.0229,25.6461,0,18.8289,0,855.6501,967.1981,351.8922,2199.9151,0.0452,"University of Arizona",1245850,0.1484,76.6405,7.0467,424.4756,54.8006,74.3671,0,6.1963,24.289,12.4475,21.652,6.2244,0,0.9783,56.9717,26.3159,8.8849,5.3346,0.6697,8.1711,28.1053,0,NA,0,848.9512,1121.4202,373.545,2303.8087,0.0503,"University of Arizona",1034800,0.0608,137.9372,2.2327,394.3278,59.0498,69.8208,0,2.4895,19.161,11.6245,3.8849,1.56,0,0.4239,18.6996,19.0476,10.7518,3.3436,0.4136,6.8913,22.5677,0,35.223,0,823.8786,1213.5875,340.0974,2262.575,0.0523,"University of Arizona",1014800,0.0579,85.9766,7.4109,502.4406,55.6125,80.3558,0,10.4322,37.8492,18.5809,18.8591,6.4685,0,0.9333,55.8584,56.544,10.4618,4.6012,0.6908,11.8406,35.8261,0,NA,0,1004.8813,1325.9301,439.2784,2319.4639,0.0468
106397,"University of Arkansas",175000,0,212.6336,43.4755,1184.8567,117.0613,199.1765,42.879,22.2775,76.6371,36.8866,44.1857,34.6296,0,11.5396,120.3595,74.0282,0,15.2881,0.6009,33.0274,98.5426,0,25.6413,0,2395.3546,716.5722,714.5633,1518.2325,0.4068,"University of Arkansas",175000,0,210.7277,37.4897,1235.68,121.68,208.3124,26.9195,31.2213,76.5395,42.3688,59.8382,31.7169,0.539,12.5238,149.0713,73.3724,0,17.9459,0.8188,34.8389,98.0877,0,75.0961,0,2546.4561,736.8574,740.4629,1614.5744,0.3762,"University of Arkansas",175000,0,223.2257,48.5393,1224.7825,128.2369,230.5375,19.993,19.2263,51.8772,38.292,54.8888,25.1948,0.6065,11.9679,158.3857,87.2423,0,15.9617,0.9618,34.238,73.6766,0,NA,0,2449.5649,809.1199,835.2776,1630.7836,0.4338,"University of Arkansas",0,0,224.3028,7.2049,1141.4774,124.1454,224.9497,67.3979,3.9269,76.6442,37.5286,41.2899,18.0233,0.0146,8.6504,77.3668,74.0963,0,41.6085,0.5609,35.7845,69.1647,3.0278,212.742,5.7891,2495.6967,816.8369,759.8661,1725.2525,0.448,"University of Arkansas",0,0,282.5951,50.4887,1515.256,162.1449,256.6672,26.028,23.7495,113.9421,33.3302,76.2405,21.2801,0.8784,12.3632,110.2494,179.9171,0,14.6119,1.1461,42.3882,74.8986,23.0612,86.0392,9.2754,3116.5511,933.7507,817.964,1962.8968,0.3997
106458,"Arkansas State University",1461494,0.8549,12.8787,1.2852,159.8053,28.9557,11.0411,0,1.8953,9.5442,6.6355,2.9005,1.372,0,0.0969,8.0472,3.8294,0,1.0361,0.5472,0.1944,61.4969,1.0275,0,0.3421,319.6106,158.9568,10.7521,45.3845,0.1144,"Arkansas State University",1437300,1.383,12.6666,2.3393,137.7727,27.9831,11.3561,0,2.0233,10.0653,6.7778,3.477,1.8151,0,0.0376,8.0707,5.7085,0,1.1117,0.5162,0.4837,33.0833,2.8767,0,0.4276,275.5454,156.8537,10.2945,41.6273,0.1053,"Arkansas State University",1300581,1.5389,12.7428,1.4709,140.4955,30.4295,11.6968,0,1.5487,8.8397,8.8842,3.8375,2.0331,0,0.0275,11.371,6.5637,0,1.0324,0.5134,0.4281,30.9546,1.2277,0,0.3188,280.991,152.4338,10.0418,46.5549,0.1114,"Arkansas State University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,144.7362,9.168,38.2182,0.1198,"Arkansas State University",1694784,1.3563,13.3645,1.6627,122.4194,27.0335,12.4393,0,1.6822,11.4845,7.5058,4.2302,1.9672,0,0.2136,5.0242,5.0504,0,1.0833,0.429,2.1422,19.3424,0,0,0,244.8389,135.2051,9.4268,41.0678,0.1192
110556,"California State University-Fresno",40075,0.0304,65.2199,5.3735,281.7397,43.1084,46.2383,6.9315,3.5737,20.6627,9.411,13.7753,6.3707,1.6032,1.7849,1.6672,7.8564,7.4003,9.8353,3.2784,4.1027,14.8472,6.2773,-2.2844,2.1701,561.1951,602.0706,26.0021,36.0028,0.255,"California State University-Fresno",22408,0.0093,72.3111,4.2385,286.8117,46.4492,49.1563,3.7121,3.8195,20.3494,8.1602,19.3858,6.2784,1.5854,1.6958,1.7542,8.1568,1.8833,10.4888,3.4749,5.8019,11.7758,3.5245,NA,2.6722,573.6233,632.8791,35.6478,29.6036,0.2809,"California State University-Fresno",19171,0.0218,66.2629,5.1446,271.0269,44.5758,51.6785,1.204,2.6558,16.598,8.4946,18.7983,5.8146,1.5602,1.5673,2.736,6.8184,8.4754,8.6494,3.5156,5.2329,11.1148,0,NA,0,542.0537,631.86,32.444,19.0292,0.2623,"California State University-Fresno",0,0,64.5368,0.0262,211.3002,42.3772,45.9963,0.4398,0.7505,11.8278,12.1367,5.2792,0.7834,0.0443,1.32,1.6744,3.3017,1.9961,0.9022,2.7697,2.2172,12.9207,0,NA,0,422.6003,669.4163,35.6733,26.8368,0.295,"California State University-Fresno",12832,0.0124,64.6708,6.0869,290.5423,43.8453,52.7776,4.1561,4.2518,19.9772,14.1794,19.3253,3.286,0.7966,1.5791,1.9581,7.7379,2.5829,9.0436,3.857,5.8118,18.8692,4.075,47.525,1.5823,628.6097,694.7207,42.0713,21.1481,0.3168
110635,"University of California-Berkeley",0,0,94.7291,9.467,559.9209,65.9807,104.0745,7.1333,7.0773,32.156,31.161,23.1575,19.8679,0,0.7952,104.8157,25.7552,0,11.9915,0.4625,7.844,13.4526,0,-97.8007,0,1022.0412,1005.3896,1599.6485,3423.4898,0.1053,"University of California-Berkeley",0,0,104.6133,6.7396,516.7996,58.1813,106.5069,4.0517,8.5717,33.9408,21.8693,25.3109,23.2661,0,0.7928,53.8087,26.6216,0,12.8684,0.1276,4.9214,20.2082,3.4305,NA,0.9689,1033.5991,991.9017,1544.7587,3211.085,0.1108,"University of California-Berkeley",0,0,99.2056,5.2347,479.8975,51.399,111.9221,5.2564,6.7153,26.1962,25.0012,24.0883,20.9564,0,1.0849,43.8998,22.4038,0,11.3223,0.2656,9.3301,13.504,1.4203,15.1521,0.6915,974.9471,1013.1897,1540.0773,3263.4672,0.101,"University of California-Berkeley",0,0,109.8929,1.0012,442.7973,54.0061,112.7593,4.8814,1.8238,20.7048,23.3729,6.5183,9.4563,0,0.0099,44.2207,15.3756,0,13.6222,0.4078,6.7051,18.0392,NA,17.2954,0,902.89,1198.0979,274.4681,3505.5062,0.1061,"University of California-Berkeley",0,0,114.85,8.5324,545.4876,62.5541,122.4546,2.6376,9.8075,38.6766,27.2219,23.7132,20.226,0,0.5349,45.0169,25.2711,0,15.0387,0.589,10.9084,17.4548,0,17.7547,0,1108.73,1403.8958,1866.4224,3684.614,0.093
