"UNITID","school_name","coach_comp_third_2018","support_comp_third_2018","coach_comp_2018","guarantees_2018","total_ops_2018","aid_2018","support_comp_2018","severance_2018","recruiting_2018","teamtravel_2018","equip_2018","game_expenses_2018","marketing_2018","camps_2018","spirit_2018","facilities_rentals_2018","overhead_2018","indirect_institutional_2018","medical_2018","memberships_2018","meals_2018","otherops_2018","bowl_expense_2018","prof_def_2018","bowl_coachcomp_2018","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",0,0,39.2289,4.7036,213.4979,50.8124,34.882,0,3.9059,16.3935,8.8073,6.872,4.2977,0,4.1508,6.4043,6.2738,1.3848,3.3264,2.2148,2.601,13.6334,2.7213,-6.399,0.8838,420.5968,294.1337,202.7657,1845.795,0.3042
100751,"The University of Alabama",0,0,83.374,12.4154,496.2306,49.8866,87.9084,2.5176,9.866,20.5056,11.2132,24.6374,13.5596,4.8876,2.3575,51.6361,42.6683,5.9513,9.2092,0.4489,3.1182,34.9974,25.0721,32.6253,0,1025.0866,802.9623,145.5858,229.6087,0.1212
100858,"Auburn University",0,0,154.1451,22.8409,821.2891,99.862,157.1283,17.2284,12.2416,43.0516,32.1467,17.445,25.1805,0,3.4614,70.3967,76.7894,0,5.4947,1.4679,8.5723,57.9892,11.2921,45.9551,4.5553,1688.5333,684.9409,276.6635,1129.2081,0.057
102094,"University of South Alabama",0,0,16.3074,0.5812,82.535,19.3785,13.7633,0,1.107,5.6713,6.4984,2.0087,0.9456,0,0.8055,4.6683,2.7827,NA,1.673,0.3183,0.5353,5.4904,0,-2.3552,0,162.7148,97.2037,30.2266,91.4362,0.1407
104151,"Arizona State University Campus Immersion",12500,0,45.8938,3.9856,286.5229,35.5016,43.5892,29.0665,3.4887,13.089,14.3161,9.4625,11.1612,0.0491,1.2376,34.0412,20.4243,4.39,3.6847,0.0983,4.1739,4.8612,2.8082,-29.7086,1.172,543.3373,845.4414,171.2845,752.6091,0.092
104179,"University of Arizona",1188198,0.0957,79.7852,5.3661,435.5482,54.7031,66.4742,34.8782,6.3033,23.6857,16.1361,21.2044,6.8303,0,1.0413,32.4297,28.1274,6.9586,5.3345,0.4692,8.5343,26.1942,4.3192,-31.4523,1.6689,839.6442,902.2214,344.5709,2097.8418,0.0468
106397,"University of Arkansas",175000,0,212.6336,43.4755,1184.8567,117.0613,199.1765,42.879,22.2775,76.6371,36.8866,44.1857,34.6296,0,11.5396,120.3595,74.0282,0,15.2881,0.6009,33.0274,98.5426,0,25.6413,0,2395.3546,716.5722,714.5633,1518.2325,0.4068
106458,"Arkansas State University",1461494,0.8549,12.8787,1.2852,159.8053,28.9557,11.0411,0,1.8953,9.5442,6.6355,2.9005,1.372,0,0.0969,8.0472,3.8294,0,1.0361,0.5472,0.1944,61.4969,1.0275,0,0.3421,319.6106,158.9568,10.7521,45.3845,0.1144
110556,"California State University-Fresno",40075,0.0304,65.2199,5.3735,281.7397,43.1084,46.2383,6.9315,3.5737,20.6627,9.411,13.7753,6.3707,1.6032,1.7849,1.6672,7.8564,7.4003,9.8353,3.2784,4.1027,14.8472,6.2773,-2.2844,2.1701,561.1951,602.0706,26.0021,36.0028,0.255
110635,"University of California-Berkeley",0,0,94.7291,9.467,559.9209,65.9807,104.0745,7.1333,7.0773,32.156,31.161,23.1575,19.8679,0,0.7952,104.8157,25.7552,0,11.9915,0.4625,7.844,13.4526,0,-97.8007,0,1022.0412,1005.3896,1599.6485,3423.4898,0.1053
