"UNITID","school_name","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",0,0,7848887,664443,34303084,8126308,5873992,363708,58076,1980712,1358069,523626,546069,0,606159,1298543,1203819,199543,419000,340714,624882,2158329,75130,1143779,33075,69749947,91726065,61112310,340868357,60192
100751,"The University of Alabama",0,0,34207110,306433,170191728,18482838,31289252,993680,734399,6532726,3091793,4593765,2680210,374719,204408,23882312,12655492,2654551,7689965,377565,775044,11814678,4212006,9608681,2302054,349655409,271660919,64036452,118097592,46222
100858,"Auburn University",0,0,29069173,360000,133289885,16437870,24559777,16661648,284012,4482071,5497690,3519581,1188730,0,258601,10447746,13280295,0,802600,430212,995445,4076683,469751,NA,468000,266579770,131753054,42231953,238033142,9312
102094,"University of South Alabama",0,0,7475500,417785,35094465,6690534,4628042,36365,424100,1776544,1503571,994731,183472,0,282375,7535231,404099,0,891048,114913,285447,1450708,0,NA,0,70188930,39392000,24488000,37644000,NA
104151,"Arizona State University Campus Immersion",5000,0,22352899,207992,103772499,17350884,21438876,501313,380468,3865775,4952292,2389977,1209169,0,235517,10903652,10770108,1764665,2356712,34959,1620087,1432154,0,13902811,0,221447809,536128000,76335000,415074000,71491
104179,"University of Arizona",1034800,14400,32682555,529000,93431241,13991142,16543211,0,589862,4539970,2754295,920488,369632,0,100428,4430653,4513098,2547512,792229,97994,1632822,5347150,0,8345675,0,195208157,287545000,80582000,536090000,12388
106397,"University of Arkansas",0,0,21929191,704390,111597676,12137197,21992436,6589227,383920,7493199,3669020,4036744,1762068,1431,845716,7563847,7244102,0,4067897,54836,3498505,6761953,296016,20798931,565981,243994283,79858872,74289067,168671034,43799
106458,"Arkansas State University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37573809,2380027,9921527,31113
110556,"California State University-Fresno",0,0,11067928,4500,36237555,7267597,7888267,75432,128716,2028437,2081422,905371,134359,7594,226371,287156,566239,342331,154721,475000,380245,2215869,0,NA,0,72475110,114803558,6117897,4602457,50596
110635,"University of California-Berkeley",0,0,21973516,200188,88539090,10798732,22546669,976055,364684,4140014,4673499,1303351,1890830,0,1973,8842103,3074405,0,2723819,81532,1340711,3607019,NA,3458278,0,180536468,239564460,54881000,700939992,21225
