UNITID,school_name.x,coach_comp_third,support_comp_third,coach_comp,guarantees,total_ops,aid,support_comp,severance,recruiting,team_travel,equip,game_expenses,marketing,camps,spirits,facilities,overhead,indirect_institutional,medical,membership,meals,otherops,bowl_expenses,prof_def,bowl_coachcomp,total_expenditure,discounts_to_tuition,gifts,research_expenditure,graduation_rate
100663,University of Alabama at Birmingham,0,0,7407960.75,757476.5,35312774,8104000.25,5603176.5,163625.5,484293.25,2490054.5,1398020.25,920630.75,640572,0,744445,1117652.75,1231957.5,225377.75,527238.5,372501,466883,2169440.25,348584,287966.5,138884,70913514.5,76686314,40022752.75,315593411.5,58534
100751,The University of Alabama,0,0,31945235.2,3600961.4,178213091.6,17947534.4,31870899.2,2010298.8,3058515,6680114.4,3458797.8,7760500.2,3984825.6,1044316.6,542126.6,21319456.6,12409714.4,2523084.6,4225688.4,251675.4,894452,14919304.6,6139765.2,13795618.75,1384046,356455978,272603318,49178852.25,92198408.25,42949
100858,Auburn University,0,0,27813780.2,3537182.2,139951196.2,16858575.2,25660489.6,5770322.4,1797730.8,6599185.2,5569320,3170113.6,3679104,0,551982.6,11608326.6,13874076.2,0,974500,336636.4,1614860.4,8863299,1172360.8,15470520,499351,283808709.25,123419402.5,44963460.25,214672294.5,9664.5
102094,University of South Alabama,0,0,6400967.8,437243.4,32055041,6865624,4850228.4,8179,445934.4,2015429.8,1606951.8,824726.2,261231,3336.8,308917.8,3964339.8,1300518.8,0,688795.4,188298.8,297686,1586631.8,0,2632845.5,0,63423719.75,37340250,15575000,36397500,77588
104151,Arizona State University Campus Immersion,5500,0,21616728,1574834.2,118176055.2,16713929.4,21234656.4,3032336,1230479,5460784.8,5642518.6,4308948.6,3960484,4345.4,526222.4,12242894.8,11414976.2,1922222.6,1949251,50890,1819465.4,2053499.6,1133624.8,1350547.3333333333,277464,234448952.5,443877000,77915000,374953250,55950
104179,University of Arizona,1155299.6,22910,21524735,1522275.6,104671218.2,13456126.6,17433150.2,1654899.2,1595507.8,6291375.4,3512869.4,4269462.2,1316532,0,214546.4,10538588.6,7602417.8,2159850.8,1167874,139838.2,2143305.4,6665529.4,204939.6,1803160.6666666667,79185,200557953,250277750,83965500,527791250,11580.25
106397,University of Arkansas,105000,0,23276239.4,3805570.6,127352830.2,13179291.6,22602882.8,3704652,2052010,7971760.8,3825093.6,5575132.4,2677274,40594.4,1157540.6,12531406.6,9771417.8,0,2119934.2,82348.6,3640597.2,8445709.8,498492.2,9906865,289881.6,254080741.5,79001719.5,78311138,166539559.25,42714
106458,Arkansas State University,1473539.75,331869,3331346,436430,36077194,7373589.25,3002827.5,0,460627.75,2578061,1923334.25,933700,464483.75,0,24400.25,2091763.5,1366169.5,0,274989.25,129146,212678.5,9269322.5,329291.5,0,69624.75,55966130.5,39324954.25,2581905,11018437,28935.75
110556,California State University-Fresno,18897.2,2599.6,11525358.2,721179.8,46397856.6,7624143.2,8494392.2,571731,519054.4,3094007.2,1797871.8,2643382.6,788623.4,195874.6,275378.8,338930,1172621,785993.8,1350276.6,583457,799194.8,2391214.4,481049.2,3597412.5,222625.8,92633246,111638663,5703108.5,4918166,48101.25
110635,University of California-Berkeley,0,0,21485432.2,1272432.2,104417950.8,11974326.4,22906163.6,977964.2,1402952.8,6234261.6,5271770.6,4237740.6,3861616.2,0,133019,11881723.6,4742550,0,2661322.4,75834.4,1634920.6,3392682.6,252369.75,-2227850.5,69344,200642522.25,214454435.75,254098250,683055652.75,21577.75
110662,University of California-Los Angeles,0,0,25589727.8,1643639.2,123785381.4,15601385.2,22824665,3289064.6,1340530.4,6339293.4,4173063.4,8311921.6,993883,1833228.2,37929.2,6370720.6,10599625.4,0,1147675.8,69543.2,4043793.2,9032322.8,486910.4,0,56459,243909997,236435193.25,284544500,983750447.25,16813.25
