my_id,school_name,1819_coach_comp_third,1819_support_comp_third,1819_coach_comp,1819_guarantees,1819_total_ops,1819_aid,1819_support_comp,1718_severance,1718_recruiting,1718_teamtravel,1718_equip,1718_game_expenses,1718_marketing,1718_camps,1718_spirit,1718_facilities_rentals,1718_overhead,1718_indirect_institutional,1718_medical,1718_memberships,1718_meals,1718_otherops,1718_bowl_expense,1718_prof_def,1718_bowl_coachcomp
1,Air Force,$0 ,$0 ,"$11,682,197 ","$516,369 ","$54,192,115 ",$0 ,"$18,889,064 ",$0 ,"$1,756,582 ","$5,350,017 ","$5,174,097 ","$1,705,285 ","$1,011,491 ","$870,156 ","$91,919 ","$784,559 ","$2,554,923 ",0,"$84,450 ","$562,047 ","$67,380 ","$2,439,679 ",$0 ,"$6,571,439 ",$0 
2,Akron,$0 ,$0 ,"$5,914,303 ","$780,850 ","$34,873,226 ","$6,976,674 ","$4,749,812 ",$0 ,"$613,074 ","$2,341,698 ","$1,330,125 ","$893,244 ","$738,253 ","$195,447 ","$66,790 ","$4,968,588 ","$1,911,004 ",$0 ,"$459,380 ","$276,247 ",$0 ,"$2,172,114 ","$312,052 ","($272,226)","$173,571 "
3,Alabama,$0 ,$0 ,"$27,979,991 ","$4,166,549 ","$166,533,013 ","$16,741,760 ","$29,501,703 ","$844,883 ","$3,310,990 ","$6,881,601 ","$3,763,116 ","$8,268,221 ","$4,550,561 ","$1,640,264 ","$791,183 ","$17,328,857 ","$14,319,317 ","$1,997,219 ","$3,090,576 ","$150,657 ","$1,046,462 ","$11,744,998 ","$8,414,105 ","$10,948,924 ",$0 
4,App State,$0 ,$0 ,"$6,067,428 ","$475,221 ","$36,853,981 ","$6,534,872 ","$4,439,950 ","$11,548 ","$503,266 ","$2,311,829 ","$1,762,625 ","$1,017,044 ","$113,893 ","$9,098 ","$57,459 ","$3,483,153 ","$1,174,783 ","$6,096,227 ","$334,825 ","$125,931 ","$342,290 ","$1,268,837 ","$572,971 ","$86,886 ","$150,731 "
5,Arizona,"$1,188,198 ","$22,700 ","$18,928,250 ","$1,273,050 ","$103,329,464 ","$12,977,775 ","$15,770,347 ","$8,274,496 ","$1,495,385 ","$5,619,198 ","$3,828,130 ","$5,030,543 ","$1,620,431 ",$0 ,"$247,049 ","$7,693,625 ","$6,672,934 ","$1,650,854 ","$1,265,564 ","$111,321 ","$2,024,684 ","$6,214,307 ","$1,024,698 ","($7,461,747)","$395,925 "
6,Arizona State,"$12,500 ",$0 ,"$20,307,346 ","$1,763,586 ","$126,782,387 ","$15,708,959 ","$19,287,625 ","$12,861,526 ","$1,543,683 ","$5,791,714 ","$6,334,660 ","$4,187,023 ","$4,938,676 ","$21,727 ","$547,620 ","$15,062,742 ","$9,037,481 ","$1,942,501 ","$1,630,447 ","$43,478 ","$1,846,874 ","$2,151,022 ","$1,242,588 ","($13,145,632)","$518,609 "
7,Arkansas,"$175,000 ",$0 ,"$22,857,684 ","$4,673,531 ","$127,369,722 ","$12,583,859 ","$21,411,079 ","$4,609,403 ","$2,394,790 ","$8,238,339 ","$3,965,232 ","$4,749,873 ","$3,722,614 ",$0 ,"$1,240,483 ","$12,938,402 ","$7,957,887 ",$0 ,"$1,643,439 ","$64,600 ","$3,550,375 ","$10,593,132 ",$0 ,"$2,756,388 ",$0 
8,Arkansas State,"$1,461,494 ","$214,514 ","$3,231,585 ","$322,500 ","$40,098,989 ","$7,265,690 ","$2,770,473 ",$0 ,"$475,581 ","$2,394,868 ","$1,665,012 ","$727,809 ","$344,273 ",$0 ,"$24,304 ","$2,019,228 ","$960,887 ",$0 ,"$259,991 ","$137,309 ","$48,782 ","$15,431,036 ","$257,820 ",$0 ,"$85,833 "
9,Auburn,$0 ,$0 ,"$26,238,272 ","$3,887,937 ","$139,798,191 ","$16,998,307 ","$26,746,067 ","$2,932,576 ","$2,083,737 ","$7,328,164 ","$5,471,951 ","$2,969,449 ","$4,286,178 ",$0 ,"$589,192 ","$11,982,783 ","$13,070,935 ",$0 ,"$935,294 ","$249,860 ","$1,459,164 ","$9,870,802 ","$1,922,123 ","$7,822,378 ","$775,400 "
10,Ball State,$0 ,$0 ,"$5,646,348 ","$1,005,100 ","$28,443,728 ","$8,228,569 ","$4,359,068 ",$0 ,"$479,643 ","$1,835,558 ","$1,514,944 ","$818,850 ","$263,140 ","$132,501 ","$116,520 ",$0 ,"$134,893 ","$1,617,221 ","$347,445 ","$278,750 ","$149,673 ","$1,515,505 ",$0 ,"$190,375 ",$0 
